word	prediction	label
симпатією	1	1
міцність	1	1
утворення	0	0
спорудження	2	0
мостів	1	2
навантаження	0	0
корозією	1	1
штампуванням	0	0
автомобілі	1	2
інструменти	2	2
свердління	0	0
числа	2	0
млрд	1	2
обсяг	1	2
шлами	2	2
предметів	2	2
копіювання	0	0
технології	1	1
декорування	0	0
штрихів	1	2
виробу	1	2
дизайнерами	2	2
наука	1	1
розписом	0	2
картинок	1	1
варіантом	2	2
ефект	2	2
пляжах	1	2
чура	1	2
чотирикутнику	2	2
тета	2	1
пес	2	2
комина	2	2
бродів	2	2
групу	1	1
роботах	1	1
докори	1	2
бункері	1	2
хаті	0	1
просторі	1	2
бібліотека	1	1
образ	2	2
свідчення	2	0
скарб	1	2
лоза	0	1
природою	1	1
арешту	0	2
портретами	1	2
книга	1	1
сповідь	1	1
житті	1	0
мова	0	1
виписки	2	1
містифікацією	1	1
оцінка	0	1
кривих	2	1
кривій	2	1
закінченні	2	0
акту	0	2
появи	1	1
клітора	2	2
розгляду	2	2
біополя	1	0
комплексу	1	2
виділення	0	0
словами	1	0
засоби	2	2
закупівлі	1	1
наказів	1	2
республіки	1	1
юстиції	1	1
установ	1	1
станів	2	2
закладу	2	2
розрахунку	1	2
міністерстві	1	0
роком	2	2
продавцеві	2	2
інженери	2	2
узвозі	1	2
оточенням	2	0
архітектури	1	1
театрі	1	2
табличку	2	1
поліцейським	2	2
появу	1	1
хлопцям	2	2
підлітки	2	2
ефірі	1	2
президентом	1	2
захід	2	2
вересні	2	2
човна	1	2
корабель	1	2
точки	1	1
листі	1	2
площу	1	1
проект	2	2
бруківці	2	1
комплексам	2	2
яв	2	2
кінці	2	2
тривалість	1	1
композицій	1	1
героям	1	2
телеканалів	1	2
простору	0	2
інвестиції	2	1
доходи	2	2
відміну	1	1
завершення	0	0
справу	1	1
гандболом	1	2
клуби	1	2
чемпіонату	2	2
контракт	2	2
мідь	2	1
родовищ	0	0
агентстві	1	0
тес	1	1
межах	1	1
аргумент	2	2
блокаду	1	1
політику	1	1
державі	1	1
регулятор	2	2
електроенергії	1	1
різниці	2	1
донорами	1	2
дипломи	2	2
видавництв	1	0
поширення	0	0
мемів	1	2
відгуки	2	2
мему	1	2
приводів	2	2
родом	2	2
вітальня	1	1
порушення	0	0
біль	1	2
підняття	0	0
печії	1	1
поняття	2	0
словника	2	2
скриню	1	1
персонаж	2	2
вчительки	1	1
травня	2	2
продажу	0	2
держава	0	1
проекти	2	2
прадіда	1	2
слави	1	1
космотуристів	1	2
серіал	2	2
помилки	2	1
інформації	1	1
алюзіями	2	1
бізнесу	2	2
батько	2	2
папірців	2	2
механіка	1	1
комбінаторики	2	1
посаду	1	1
акціями	1	1
спорту	1	2
пришвидшення	1	0
родину	1	1
етапах	2	2
заходи	0	2
розширення	0	0
гнізда	1	0
моно	1	2
завантаження	0	0
ситуацій	1	1
польоту	1	2
власності	0	1
лікарем	1	2
одиначка	1	1
селищі	2	0
дію	1	1
боротьба	0	1
мер	2	2
винищування	0	0
суми	2	1
кабінеті	1	2
чоловіки	2	2
дівчини	2	1
лауреати	1	2
електроніки	2	1
пристроїв	1	2
бачення	0	0
десятків	2	2
мистецтвознавець	2	2
процесі	2	2
розчаруваннями	2	0
думок	2	1
способом	2	2
вул	1	1
блокади	1	1
зростання	0	0
кроків	1	2
утрат	2	1
заборона	0	1
дозволу	0	2
липні	2	2
поглибленні	1	0
політизації	0	1
країнах	1	1
вікна	1	0
батьківщиною	1	1
шедевр	1	2
матері	1	1
літературах	1	1
концепції	2	1
