word	prediction	label
هرمونات	2	1
عمولات	2	1
لسلطة	2	1
المرشح	2	2
حساب	2	2
جماعات	1	1
التجمع	2	2
وحدة	2	1
تطوير	2	2
عبور	2	2
اطراد	2	2
وحد	1	2
المبنى	2	2
غرفة	2	1
تاريخ	1	2
وعد	1	2
البداية	1	1
اللوم	1	2
كبوة	1	1
اختيار	2	2
تحديد	2	2
قوة	1	1
الاتصالات	1	2
طائرات	2	1
مؤسس	2	2
هجمات	2	1
انبعاثات	2	2
ضرورة	2	1
اتفاق	1	2
الوقت	2	2
كوكب	2	2
المستخلصة	2	1
النمو	2	2
جسد	1	2
التقرير	2	2
حسن	2	2
جدت	2	1
لألفاظ	2	2
أنفس	2	1
طريقٍ	2	2
تفسير	1	2
العثور	2	2
الحكومة	1	1
الرغم	2	2
تفاصيل	2	2
الجمعية	1	1
سلطاتٍ	2	1
المدن	1	1
الانتظار	2	2
قدر	2	2
السلوى	2	2
مدير	2	2
النجاح	2	2
عامين	2	2
سيادة	2	1
لحكومة	1	1
قضية	1	1
مشتركات	1	1
الدور	2	2
المنتج	2	2
الجسم	2	2
الممكن	1	2
الأم	1	1
الأجنة	2	2
صوتٌ	2	2
لحفلة	1	1
الجهات	2	1
الاستواء	1	2
قانون	1	2
النزاع	2	2
نمو	2	2
عملٍ	2	2
هستيريا	2	1
قلق	2	2
الفيديو	2	2
أماناً	2	2
نهر	1	2
قراءة	2	1
صحت	1	1
الخروج	2	2
الحي	2	2
السفينة	2	1
إذاعة	2	1
عباءة	1	1
يدي	1	1
فوز	2	2
الطبع	1	2
قلوب	2	2
القائد	2	2
لعمال	2	2
خيال	2	2
نموٍ	2	2
الاحتجاج	2	2
الماضي	2	2
استكشاف	1	2
الوحي	2	2
مواجهة	1	1
خصوص	1	2
القد	2	2
الأسواق	1	2
دفاعات	2	1
ولايات	1	1
لطف	2	2
الثور	2	2
المشرعين	2	2
حدوث	2	2
ضعف	2	2
أعباء	2	2
طلبات	2	2
المتوقع	2	2
تفاؤل	2	2
الاستخدام	2	2
تمييز	2	2
الإستراتيجية	2	1
النفايات	2	1
القمامة	1	1
لعودة	1	1
الأخبار	1	2
جمهور	2	2
ظهر	2	2
جانبٌ	2	2
القتل	2	2
النزعة	2	1
الهدوء	2	2
مرفقات	2	2
لاقتراع	2	2
رجلٌ	2	2
الانتحابات	2	2
تأثراً	2	2
تحديا	1	2
اختصار	2	2
رجال	2	2
الوحدة	1	1
شعبية	2	1
أدوات	2	1
الأمريكي	2	2
موطن	1	2
المخرجين	2	2
تذكرة	2	1
لذهاب	2	2
أناساً	2	2
معنى	2	2
الذهب	1	2
غابات	1	1
الحبوب	1	2
الأعراق	2	2
لدولة	1	1
توسيع	1	2
بيانات	1	2
أراضي	2	1
الأقاليم	2	2
لهجات	1	1
قوى	1	1
لديانات	1	1
مناخ	2	2
السمك	2	1
دول	2	1
المياه	2	2
موت	2	2
قطعٍ	1	1
منيعة	1	1
السهول	2	2
رد	2	2
أغصان	1	2
مساحة	1	1
علم	2	2
التحقيقات	2	2
تدمير	2	2
تلوث	2	1
رص	2	2
القارات	1	1
الشعوب	1	2
ظاهرتان	2	1
الاهتزاز	2	2
سكان	2	2
الطباعة	2	1
الإسبان	2	2
التطور	2	2
معلومات	1	1
اهتمام	2	2
مقاعد	2	2
وثيقة	2	1
ريب	2	2
نظراً	2	2
التكامل	2	2
حياةٍ	2	1
رواسب	1	2
البلاط	2	2
ندم	2	2
لحياة	2	1
مذبح	2	2
إشارة	2	1
رابط	1	2
سنة	2	1
الإمبراطور	2	2
البقية	2	1
الاعتدالين	2	2
أدلة	1	2
جمال	2	2
الجريدة	1	1
حربٍ	2	1
المقاتلين	2	2
التوترات	2	2
الفقرات	1	1
كتاب	1	2
الاستيلاء	2	2
هجوم	2	2
الغرب	2	2
الآداب	1	2
الأغراض	2	2
الجلود	2	2
سيارة	2	1
إمبراطور	2	2
الصينيين	2	2
تدريباً	1	2
مغنون	2	2
