word	prediction	label	freq	animacy	baseform	correct
generálov	2	2	1	anim	nonbase	1
spisy	0	2	4	inan	nonbase	0
lístkami	0	2	3	inan	nonbase	0
biznisu	1	2	1	inan	nonbase	0
oponentom	2	2	1	anim	nonbase	1
vienka	1	2	1	inan	nonbase	0
zámermi	0	2	1	inan	nonbase	0
predmetom	2	2	8	inan	nonbase	1
prorok	2	2	5	anim	baseform	1
proroci	2	2	2	anim	nonbase	1
janičiari	2	2	3	anim	nonbase	1
novembra	0	2	6	inan	nonbase	0
osud	0	2	6	inan	baseform	0
miestodržiteľom	2	2	3	anim	nonbase	1
marci	0	2	4	inan	nonbase	0
povstalcom	2	2	1	anim	nonbase	1
práporu	2	2	1	inan	nonbase	1
zvyky	0	2	2	inan	nonbase	0
fez	0	2	2	inan	baseform	0
júna	0	2	5	inan	nonbase	0
rádov	2	2	1	inan	nonbase	1
štátom	0	2	1	inan	nonbase	0
nástupcom	2	2	2	anim	nonbase	1
študentom	2	2	2	anim	nonbase	1
mája	0	2	12	inan	nonbase	0
johanitov	2	2	1	anim	nonbase	1
vrchol	2	2	7	inan	baseform	1
tajomník	2	2	2	anim	baseform	1
exarchu	2	2	1	anim	nonbase	1
boji	2	2	6	inan	nonbase	1
zákaz	0	2	2	inan	baseform	0
autora	2	2	2	anim	nonbase	1
prelete	2	2	1	inan	nonbase	1
sled	2	2	1	inan	baseform	1
lesy	2	2	1	inan	nonbase	1
pápež	2	2	12	anim	baseform	1
sneme	0	2	1	inan	nonbase	0
komunizmom	0	2	1	inan	nonbase	0
iniciátorom	1	2	1	anim	nonbase	0
dneška	0	2	1	inan	nonbase	0
príbeh	1	2	6	inan	baseform	0
jazykoch	0	2	1	inan	nonbase	0
začiatku	1	2	24	inan	nonbase	0
dopad	0	2	6	inan	baseform	0
plyn	0	2	2	inan	baseform	0
vesmíre	2	2	3	inan	nonbase	1
nepriateľovi	2	2	2	anim	nonbase	1
cieľ	0	2	4	inan	baseform	0
následok	2	2	1	inan	baseform	1
cherubov	2	2	2	anim	nonbase	1
cherubovia	2	2	1	anim	nonbase	1
konštruktér	2	2	1	anim	baseform	1
nepriateľ	2	2	3	anim	baseform	1
zenbudhizmus	0	2	1	inan	baseform	0
básnikov	0	2	1	anim	nonbase	0
súd	0	2	3	inan	baseform	0
monoskop	0	2	1	inan	baseform	0
zmätky	0	2	1	inan	nonbase	0
náčelníka	2	2	1	anim	nonbase	1
eposu	2	2	3	inan	nonbase	1
