word	prediction	label
هرمونات	1	1
عمولات	0	1
لسلطة	1	1
المرشح	2	2
حساب	1	2
جماعات	1	1
التجمع	2	2
وحدة	1	1
تطوير	1	2
عبور	1	2
اطراد	0	2
وحد	0	2
المبنى	0	2
غرفة	1	1
تاريخ	1	2
وعد	0	2
البداية	1	1
اللوم	1	2
كبوة	1	1
اختيار	1	2
تحديد	1	2
قوة	1	1
الاتصالات	1	2
طائرات	1	1
مؤسس	2	2
هجمات	1	1
انبعاثات	0	2
ضرورة	1	1
اتفاق	1	2
الوقت	1	2
كوكب	0	2
المستخلصة	1	1
النمو	1	2
جسد	0	2
التقرير	1	2
حسن	2	2
جدت	2	1
لألفاظ	0	2
أنفس	2	1
طريقٍ	2	2
تفسير	1	2
العثور	1	2
الحكومة	1	1
الرغم	1	2
تفاصيل	1	2
الجمعية	1	1
سلطاتٍ	1	1
المدن	2	1
الانتظار	1	2
قدر	0	2
السلوى	1	2
مدير	2	2
النجاح	1	2
عامين	1	2
سيادة	1	1
لحكومة	1	1
قضية	0	1
مشتركات	0	1
الدور	1	2
المنتج	1	2
الجسم	0	2
الممكن	0	2
الأم	1	1
الأجنة	0	2
صوتٌ	0	2
لحفلة	0	1
الجهات	0	1
الاستواء	1	2
قانون	0	2
النزاع	1	2
نمو	1	2
عملٍ	1	2
هستيريا	0	1
قلق	1	2
الفيديو	0	2
أماناً	0	2
نهر	0	2
قراءة	1	1
صحت	1	1
الخروج	1	2
الحي	0	2
السفينة	0	1
إذاعة	0	1
عباءة	1	1
يدي	2	1
فوز	1	2
الطبع	1	2
قلوب	2	2
القائد	2	2
لعمال	2	2
خيال	0	2
نموٍ	0	2
الاحتجاج	1	2
الماضي	1	2
استكشاف	1	2
الوحي	1	2
مواجهة	1	1
خصوص	1	2
القد	1	2
الأسواق	1	2
دفاعات	1	1
ولايات	0	1
لطف	1	2
الثور	2	2
المشرعين	2	2
حدوث	1	2
ضعف	1	2
أعباء	0	2
طلبات	1	2
المتوقع	0	2
تفاؤل	1	2
الاستخدام	1	2
تمييز	2	2
الإستراتيجية	1	1
النفايات	0	1
القمامة	0	1
لعودة	1	1
الأخبار	0	2
جمهور	0	2
ظهر	0	2
جانبٌ	0	2
القتل	1	2
النزعة	1	1
الهدوء	1	2
مرفقات	0	2
لاقتراع	1	2
رجلٌ	2	2
الانتحابات	1	2
تأثراً	2	2
تحديا	2	2
اختصار	1	2
رجال	2	2
الوحدة	1	1
شعبية	1	1
أدوات	0	1
الأمريكي	2	2
موطن	1	2
المخرجين	2	2
تذكرة	1	1
لذهاب	1	2
أناساً	2	2
معنى	0	2
الذهب	0	2
غابات	0	1
الحبوب	0	2
الأعراق	2	2
لدولة	2	1
توسيع	1	2
بيانات	1	2
أراضي	1	1
الأقاليم	1	2
لهجات	1	1
قوى	1	1
لديانات	2	1
مناخ	0	2
السمك	2	1
دول	1	1
المياه	1	2
موت	0	2
قطعٍ	0	1
منيعة	1	1
السهول	1	2
رد	1	2
أغصان	0	2
مساحة	1	1
علم	0	2
التحقيقات	1	2
تدمير	1	2
تلوث	0	1
رص	0	2
القارات	1	1
الشعوب	2	2
ظاهرتان	1	1
الاهتزاز	1	2
سكان	2	2
الطباعة	1	1
الإسبان	2	2
التطور	1	2
معلومات	1	1
اهتمام	1	2
مقاعد	0	2
وثيقة	0	1
ريب	1	2
نظراً	1	2
التكامل	1	2
حياةٍ	1	1
رواسب	1	2
البلاط	0	2
ندم	2	2
لحياة	1	1
مذبح	2	2
إشارة	1	1
رابط	0	2
سنة	0	1
الإمبراطور	2	2
البقية	2	1
الاعتدالين	1	2
أدلة	1	2
جمال	0	2
الجريدة	1	1
حربٍ	1	1
المقاتلين	2	2
التوترات	1	2
الفقرات	0	1
كتاب	0	2
الاستيلاء	1	2
هجوم	1	2
الغرب	2	2
الآداب	1	2
الأغراض	0	2
الجلود	0	2
سيارة	0	1
إمبراطور	2	2
الصينيين	2	2
تدريباً	1	2
مغنون	2	2
المقيمين	2	2
المنخرطين	2	2
إدمان	1	2
القطب	1	2
أحياءٌ	0	2
صراعٌ	0	2
تماثيل	0	2
انتصار	1	2
المسرحيات	0	1
الطبعة	1	1
العقل	0	2
الحقوق	1	2
مصاف	1	2
الساحرة	1	1
التدين	1	2
مبيعاً	0	2
السباق	1	2
الموسيقي	0	2
أغنيت	2	1
مقال	0	2
مهمة	1	1
فترات	1	1
لرجل	2	2
الشوارع	2	2
التمويل	1	2
نشرة	1	1
الفارس	2	2
مخاوف	1	1
المستشفى	0	2
ضوء	1	2
صديقٌ	2	2
حلفاء	2	2
بطاقة	1	1
المستخدمين	2	2
المخابرات	1	1
التكاليف	1	2
خطر	1	2
الهاتف	1	2
نهائي	1	2
المثوى	1	2
فحص	1	2
عفواً	0	2
دفعة	1	1
رئات	1	1
خلاف	0	2
القارة	0	1
الأخير	2	2
نزاعات	1	2
ساعات	1	1
ممثل	2	2
عمال	2	2
البنزين	2	2
اختصاص	1	2
توقع	0	2
زمام	1	2
إدارت	1	1
توجيه	1	2
البقر	2	1
النواب	2	2
نتيجةً	1	1
السلالم	0	2
الموظفين	2	2
الاستجمام	1	2
تخفيف	1	2
المرتفعات	1	2
المؤن	1	1
استيلاء	1	2
زيارت	1	1
الرقابة	1	1
نيل	2	2
أبناء	2	2
المخطوط	1	2
نمطٌ	0	2
لغت	0	1
ورطة	1	1
علاقة	0	1
الخيول	2	2
حذف	1	2
شواهد	0	2
رغم	1	2
سلام	2	2
الأمسيات	0	1
المصليات	0	1
تقنين	1	2
الجنرال	2	2
متحدثي	2	2
تنفيذ	1	2
قيصر	2	2
صديقاً	2	2
