word	prediction	label
motivo	1	2
spia	1	1
tramonto	0	2
materiale	2	2
chiesa	1	1
platee	2	1
parte	0	1
vacanze	2	1
tentennamenti	1	2
lenti	2	1
invidia	0	1
forma	1	1
telespettatore	2	2
dimissioni	1	1
ricchezza	1	1
escursionisti	2	2
accuse	0	1
giustizia	0	1
festival	2	2
delitti	1	2
ora	2	1
fatto	0	2
contemplazione	0	1
tornanti	2	2
sicurezza	1	1
nozze	1	1
stimolo	2	2
ritorno	2	2
pozzetto	2	2
vacanza	2	1
bambini	2	2
bar	2	2
secoli	1	2
miliardi	2	2
ceramica	1	1
colonne	1	1
vetri	2	2
frammenti	2	2
colore	1	2
zone	1	1
grassi	1	2
spina	1	1
crine	1	2
linea	1	1
frontiera	1	1
inchiostro	0	2
quadricromia	1	1
chili	2	2
lettere	1	1
lettera	2	1
buoni	0	2
origini	1	1
categorie	1	1
esalazioni	0	1
comprensorio	1	2
fusto	1	2
industrie	0	1
utilità	1	1
comune	2	2
regolamento	1	2
istituto	1	2
rinunzia	1	1
servitù	1	1
danno	1	2
laghi	0	2
dubbio	1	2
turni	1	2
deposito	1	2
disposizioni	1	1
motivi	1	2
gioventù	0	1
elettori	2	2
organizzazione	1	1
controversie	1	1
specifiche	2	1
membri	2	2
euro	2	2
funerali	2	2
costa	0	1
barche	0	1
risparmiatori	2	2
tutela	1	1
sigarette	2	1
summit	2	2
trasporto	0	2
pericolo	1	2
ambasciata	2	1
gestori	1	2
manifestazione	1	1
risultato	2	2
offerta	1	1
servizio	1	2
isola	1	1
girandola	1	1
coordinazioni	1	1
banca	2	1
trasmettitore	2	2
ozono	0	2
anello	2	2
collaborazione	0	1
lancio	2	2
lino	1	2
limite	1	2
fornitore	2	2
esistenza	1	1
zar	2	2
tunnel	2	2
compagnia	0	1
gioielli	1	2
scritta	2	1
particolari	1	2
ufficio	0	2
ruolo	1	2
chiave	2	1
antologia	1	1
programmi	2	2
conferenza	1	1
proposito	2	2
acquee	0	1
dignità	1	1
sesso	2	2
querce	1	1
maniere	1	1
ambiente	0	2
partenariato	0	2
camere	1	1
fasti	2	2
modernismo	2	2
ammortizzatori	2	2
correlazione	0	1
onde	2	1
economie	1	1
colleghe	1	1
democrazia	1	1
sfide	1	1
maghi	2	2
regno	1	2
piede	0	2
pozzi	1	2
paradigma	2	2
matrice	0	1
atmosfera	0	1
esperimenti	2	2
fattori	2	2
corazzieri	2	2
volontario	2	2
africani	0	2
colori	1	2
fax	2	2
empireo	1	2
auspicio	2	2
insediamenti	0	2
esattezza	1	1
conoscenza	0	1
condomini	1	2
agosto	0	2
liceo	1	2
pareggio	1	2
dirigenza	1	1
monile	1	2
divisa	1	1
cilindro	2	2
gruppi	2	2
ottone	1	2
rilievo	1	2
muscolatura	1	1
desktop	0	2
testo	0	2
iniezione	2	1
appuntamento	1	2
essenzialità	1	1
muro	0	2
soppressione	1	1
miglioramenti	1	2
imposizione	1	1
obbligazioni	1	1
compiti	0	2
fedeltà	1	1
giunta	1	1
marzo	2	2
parallelo	2	2
piramidi	1	1
giornale	2	2
resto	1	2
pugni	1	2
rendimenti	2	2
colpo	2	2
promotore	2	2
camicia	1	1
introduzione	1	1
fascia	2	1
faccia	2	1
spettatori	2	2
conto	1	2
postulati	2	2
canto	0	2
errore	0	2
climi	2	2
filatura	1	1
cavi	2	2
fatturato	0	2
invasione	1	1
membrana	2	1
percento	1	2
peculato	2	2
riciclaggio	0	2
tenore	2	2
idoneità	1	1
largo	2	2
dettagli	2	2
ricezione	0	1
storico	1	2
importazioni	1	1
strumenti	2	2
provvedimento	0	2
cittadino	2	2
fuga	1	1
astista	2	2
vittima	1	1
alba	0	1
vigili	1	2
viale	0	2
gambe	1	1
vulcani	2	2
imprudenze	1	1
cause	2	1
val	2	1
accademia	1	1
rovina	1	1
movimento	2	2
finanziere	2	2
versamento	0	2
emissari	2	2
ambasciatori	2	2
sintesi	2	1
rientro	0	2
scrittrici	1	1
filosofo	2	2
entusiasmo	0	2
attentati	1	2
meccanismo	2	2
iter	2	2
segreti	2	2
proiettile	1	2
primato	1	2
grilletto	2	2
proliferazione	0	1
deterrente	2	2
esplorazione	0	1
rottami	2	2
sopravvissuta	1	1
tutori	2	2
inviato	2	2
presentimenti	1	2
tensione	1	1
guerriglieri	2	2
tribù	1	1
ricercatrice	1	1
brano	1	2
valige	1	1
deputato	2	2
pensioni	1	1
revisione	0	1
rilancio	1	2
preoccupazioni	1	1
negazione	2	1
provvedimenti	2	2
cristianesimo	0	2
nazionalismo	1	2
vulgata	2	1
rimessa	1	1
provocazione	1	1
cognome	1	2
punizioni	1	1
stronzate	2	1
compagne	1	1
imposizioni	1	1
sacco	1	2
pietra	1	1
targhe	1	1
sorriso	1	2
fiamme	0	1
reparti	1	2
sirene	1	1
progressi	0	2
fattorie	0	1
bandiera	1	1
evento	1	2
inglese	2	2
braccio	1	2
sfollati	2	2
combattimenti	1	2
patria	1	1
cattolici	0	2
candele	0	1
avversari	2	2
favola	1	1
sviluppi	1	2
strategie	1	1
ripetitore	2	2
scacchiera	0	1
rischio	2	2
nazionale	1	1
sufficienza	1	1
mostriciattolo	1	2
pietre	1	1
vetrine	1	1
bugiardo	2	2
organizzatori	2	2
spiaggia	0	1
piatti	2	2
poveri	1	2
cucine	1	1
chiusura	1	1
islamici	2	2
divertimenti	1	2
banco	0	2
migliaio	0	2
estremisti	2	2
oltranzisti	2	2
tormento	1	2
avventori	2	2
dosso	1	2
caverna	2	1
fin	1	1
rocciatori	2	2
lite	1	1
interrogatori	0	2
automobilisti	2	2
biglietto	2	2
premi	2	2
ponti	1	2
fedina	0	1
anticonformismo	1	2
fatalità	1	1
costume	1	2
breve	2	2
correttezza	1	1
commedie	1	1
screpolature	1	1
irritazioni	1	1
generazione	2	1
io	2	2
dipinti	1	2
sale	1	1
collezionisti	2	2
teosofia	0	1
dandy	2	2
topoi	2	2
erba	1	1
cespugli	0	2
situazioni	1	1
scampoli	1	2
pornografia	0	1
angustie	1	1
frammento	2	2
rivista	1	1
versi	2	2
no	1	2
cantautore	2	2
ovazioni	1	1
guardoni	2	2
tour	1	2
seni	2	2
descoverta	2	1
clitoride	0	1
supermercato	1	2
bello	2	2
teenagers	2	1
collo	1	2
spasimo	1	2
pareti	1	1
graduatoria	2	1
valico	2	2
cartacce	1	1
topi	2	2
studenti	2	2
uscio	0	2
tubo	2	2
nudi	0	2
epopea	0	1
professione	1	1
insostenibilità	1	1
roba	2	1
acciacchi	2	2
raggio	1	2
ruote	0	1
gonnella	1	1
gerarchie	1	1
ripicche	1	1
integralisti	2	2
atleti	2	2
passaggi	2	2
lineamenti	1	2
letame	0	2
verdetto	0	2
orgoglio	1	2
ostacoli	1	2
finta	1	1
sgoccioli	0	2
invettiva	0	1
sfortuna	1	1
bulgaro	2	2
fuorigioco	2	2
pallanuoto	1	1
categoria	1	1
trotto	1	2
circuito	2	2
stagioni	1	1
rimprovero	0	2
consistenza	1	1
giovamento	0	2
valanga	2	1
commando	2	2
tributo	2	2
regionalismo	1	2
sconforto	0	2
cunicolo	2	2
crolli	1	2
imbarcazioni	0	1
attimi	2	2
bambinaia	1	1
fanatici	2	2
raggiera	0	1
leggenda	1	1
torpedoni	2	2
aspettative	1	1
veridicità	1	1
alloggio	1	2
cerotti	1	2
piloti	2	2
terremoto	1	2
esponenti	2	2
rapine	1	1
razzo	2	2
tintorie	1	1
destinazioni	1	1
mogli	2	1
barbone	2	2
tagliacarte	2	2
pedinamenti	1	2
ranghi	0	2
straordinari	1	2
orifiamma	2	1
sentinella	1	1
canoni	2	2
finestra	2	1
ebano	1	2
note	2	1
manichino	1	2
vetrate	1	1
scale	2	1
cuscini	0	2
legni	1	2
vena	1	1
letti	0	2
pioli	2	2
riservatezza	1	1
scritti	2	2
partiture	2	1
fori	2	2
vendita	1	1
impasto	1	2
rivestimento	1	2
serramenti	1	2
resina	1	1
decenni	1	2
sapone	0	2
rame	1	2
smaltatura	1	1
rombo	2	2
apprendistato	0	2
meglio	1	2
respirazione	0	1
ricostituenti	2	2
lusso	1	2
solito	2	2
crema	1	1
ghiandole	2	1
fiale	2	1
stop	2	2
classico	1	2
calze	1	1
spezie	1	1
contenitori	2	2
avvenimenti	1	2
dittatore	2	2
mensile	1	2
conferma	0	1
galla	1	1
intromissioni	1	1
cattivi	2	2
sega	1	1
follia	1	1
insensatezza	1	1
brutalità	1	1
comunicati	2	2
stampati	2	2
macchine	1	1
fotocopiatrici	0	1
manifestazioni	1	1
interrogate	0	1
impiegate	1	1
suite	1	1
battello	2	2
beniamino	2	2
terapia	0	1
sollecitazioni	1	1
assunzione	1	1
apparecchiatura	2	1
pianura	0	1
viali	0	2
caposaldo	2	2
questionario	2	2
dono	1	2
guadagno	1	2
maldicenza	0	1
massime	1	1
argenteria	1	1
requisizione	1	1
conferimento	1	2
priorità	1	1
estensioni	1	1
riordinamento	1	2
ubicazione	1	1
circoscrizione	1	1
vincolo	1	2
manufatti	0	2
demolizione	1	1
recinti	0	2
trave	1	1
concime	2	2
scarpa	1	1
olmi	1	2
piantagione	0	1
inferriata	1	1
similitudine	1	1
pendio	2	2
variazione	1	1
bacini	0	2
colombi	1	2
detentore	2	2
lagune	0	1
inesistenza	0	1
accessioni	1	1
prelazione	1	1
avvenire	0	2
accidente	1	2
gregge	2	2
designazione	1	1
accessorio	2	2
amenità	0	1
colmate	0	1
elettrodotto	0	2
litri	2	2
deliberazioni	1	1
porzioni	1	1
annotazione	1	1
copia	2	1
delegatario	2	2
straniero	2	2
carcerazione	2	1
finanziamento	2	2
borse	2	1
efficacia	1	1
progressività	1	1
flagranza	2	1
decreti	1	2
grazia	1	1
amministrazioni	1	1
giurisdizioni	1	1
livelli	2	2
delega	1	1
dazi	2	2
magistrature	1	1
osservazioni	2	1
alleggerimento	0	2
approccio	0	2
rappresentatività	1	1
accumulazione	0	1
definizioni	2	1
alimentatori	2	2
gestore	2	2
fascicoli	2	2
quadriennio	1	2
acquis	2	2
république	2	1
orizzonte	0	2
sommossa	0	1
dominazione	1	1
democratici	2	2
stive	1	1
indotto	0	2
lavaggio	1	2
destituzione	2	1
rottura	1	1
guasti	1	2
liberalizzazione	1	1
malcontento	0	2
risanamento	0	2
milizie	1	1
trimestre	2	2
agevolazioni	1	1
portabandiera	2	2
complicità	1	1
retromarcia	2	1
reggimenti	2	2
aquile	1	1
fabbrichette	0	1
irregolarità	1	1
concessioni	1	1
denari	2	2
inganno	1	2
grano	0	2
meno	1	2
amministratori	2	2
contrattazione	0	1
attentatore	2	2
dio	1	2
monoposto	0	1
expo	1	2
risaia	1	1
cucina	1	1
cattività	2	1
segreterie	1	1
federalismo	1	2
latenza	2	1
pci	1	2
coronamento	1	2
patiti	1	2
borgate	1	1
anticipazioni	1	1
attici	2	2
cabaret	1	2
carnet	2	2
manipolazione	0	1
merceologie	1	1
bagagli	1	2
mondiale	0	2
giunco	0	2
acrobazie	2	1
orso	2	2
aggiornamento	0	2
confederazioni	1	1
panda	1	2
parata	2	1
macchie	0	1
anelli	2	2
monsignore	2	2
nona	2	1
tarantola	1	1
innamorata	1	1
mezzadri	1	2
schiera	0	1
diamanti	1	2
sottoalberi	2	2
parsificazione	0	1
sociologia	1	1
direttori	2	2
derby	1	2
open	1	2
conciatore	2	2
esercitazione	0	1
basilica	1	1
matematica	1	1
chitarra	0	1
spezzoni	2	2
