word	prediction	label
симпатією	1	1
міцність	1	1
утворення	1	0
спорудження	1	0
мостів	2	2
навантаження	2	0
корозією	2	1
штампуванням	1	0
автомобілі	2	2
інструменти	2	2
свердління	1	0
числа	2	0
млрд	2	2
обсяг	2	2
шлами	2	2
предметів	2	2
копіювання	2	0
технології	1	1
декорування	2	0
штрихів	2	2
виробу	2	2
дизайнерами	2	2
наука	1	1
розписом	1	2
картинок	2	1
варіантом	1	2
ефект	1	2
пляжах	2	2
чура	1	2
чотирикутнику	2	2
тета	1	1
пес	2	2
комина	1	2
бродів	1	2
групу	2	1
роботах	1	1
докори	2	2
бункері	2	2
хаті	1	1
просторі	2	2
бібліотека	1	1
образ	2	2
свідчення	1	0
скарб	2	2
лоза	1	1
природою	2	1
арешту	1	2
портретами	2	2
книга	2	1
сповідь	1	1
житті	1	0
мова	1	1
виписки	2	1
містифікацією	1	1
оцінка	1	1
кривих	2	1
кривій	2	1
закінченні	2	0
акту	1	2
появи	1	1
клітора	1	2
розгляду	1	2
біополя	1	0
комплексу	2	2
виділення	1	0
словами	1	0
засоби	2	2
закупівлі	1	1
наказів	2	2
республіки	2	1
юстиції	2	1
установ	2	1
станів	2	2
закладу	2	2
розрахунку	2	2
міністерстві	1	0
роком	1	2
продавцеві	2	2
інженери	2	2
узвозі	1	2
оточенням	1	0
архітектури	2	1
театрі	1	2
табличку	1	1
поліцейським	1	2
появу	1	1
хлопцям	2	2
підлітки	2	2
ефірі	2	2
президентом	2	2
захід	2	2
вересні	1	2
човна	2	2
корабель	2	2
точки	2	1
листі	1	2
площу	1	1
проект	2	2
бруківці	1	1
комплексам	2	2
яв	2	2
кінці	2	2
тривалість	1	1
композицій	2	1
героям	2	2
телеканалів	2	2
простору	2	2
інвестиції	2	1
доходи	2	2
відміну	1	1
завершення	2	0
справу	1	1
гандболом	1	2
клуби	2	2
чемпіонату	2	2
контракт	1	2
мідь	2	1
родовищ	2	0
агентстві	2	0
тес	2	1
межах	2	1
аргумент	2	2
блокаду	1	1
політику	1	1
державі	1	1
регулятор	2	2
електроенергії	2	1
різниці	1	1
донорами	2	2
дипломи	2	2
видавництв	2	0
поширення	1	0
мемів	2	2
відгуки	2	2
мему	1	2
приводів	2	2
родом	2	2
вітальня	1	1
порушення	1	0
біль	2	2
підняття	1	0
печії	1	1
поняття	2	0
словника	2	2
скриню	1	1
персонаж	2	2
вчительки	1	1
травня	1	2
продажу	1	2
держава	1	1
проекти	2	2
прадіда	1	2
слави	1	1
космотуристів	2	2
серіал	2	2
помилки	1	1
інформації	2	1
алюзіями	2	1
бізнесу	2	2
батько	2	2
папірців	2	2
механіка	1	1
комбінаторики	2	1
посаду	1	1
акціями	1	1
спорту	2	2
пришвидшення	1	0
родину	2	1
етапах	2	2
заходи	2	2
розширення	1	0
гнізда	2	0
моно	2	2
завантаження	1	0
ситуацій	2	1
польоту	1	2
власності	1	1
лікарем	2	2
одиначка	1	1
селищі	2	0
дію	1	1
боротьба	1	1
мер	2	2
винищування	1	0
суми	2	1
кабінеті	2	2
чоловіки	2	2
дівчини	1	1
лауреати	2	2
електроніки	2	1
пристроїв	2	2
бачення	1	0
десятків	2	2
мистецтвознавець	2	2
процесі	2	2
розчаруваннями	1	0
думок	2	1
способом	2	2
вул	1	1
блокади	1	1
зростання	1	0
кроків	2	2
утрат	2	1
заборона	1	1
дозволу	2	2
липні	1	2
поглибленні	2	0
політизації	1	1
країнах	2	1
вікна	1	0
батьківщиною	1	1
шедевр	2	2
матері	1	1
літературах	2	1
концепції	1	1
