word	prediction	label
apă	2	1
măgurii	2	1
undița	1	1
oaia	1	1
morii	2	1
ochiul	1	2
munți	2	2
ceriului	2	2
soțul	2	2
ținerea	2	1
trup	2	2
poruncile	1	1
corabii	2	2
uricul	2	2
sara	1	1
moarte	2	1
asin	2	2
evanghelie	2	1
lauda	1	1
fătul	2	2
rodul	2	2
împăratului	1	2
nunta	1	1
banul	2	2
știutori	2	2
veșmintelor	1	1
găină	2	1
casele	1	1
cimbrul	2	2
zilele	1	1
găina	1	1
sfărșitul	2	2
sfîrșit	2	2
apus	2	2
slavă	2	1
potop	2	2
giudețul	2	2
talant	1	2
îngerilor	2	2
preț	2	2
testament	2	2
iuda	2	2
sfîrșitul	2	2
nazarineanul	2	2
sînge	2	2
trestie	1	1
iisus	2	2
păzitori	2	2
frică	1	1
predoslovia	1	1
cărții	2	1
împărăției	2	1
peri	1	2
învățătură	2	1
stricăciunea	2	1
podul	2	2
fiii	2	2
mijloc	1	2
sora	1	1
taina	1	1
frigare	1	1
vară	1	1
jocul	2	2
dată	2	1
copii	2	1
față	2	1
coțofană	2	1
jalea	2	1
grajd	2	2
venit	2	2
stelelor	2	1
cununie	1	1
frunză	1	1
oră	2	1
frate	2	2
mireasă	1	1
praguri	2	1
viorele	1	1
cetina	1	1
fetele	1	1
mireasma	2	1
colac	2	2
floricica	1	1
oglindă	1	1
noră	1	1
clocotici	2	2
oală	2	1
căsuță	2	1
răcoare	2	1
mohor	1	2
negură	2	1
dimineață	1	1
tipografie	2	1
milostivire	2	1
feciorul	2	2
crailor	1	2
psalm	2	2
idoli	1	2
arma	2	1
hramul	2	2
izvorul	2	2
dar	1	2
făgăduința	1	1
îndemnarea	2	1
ai	2	2
somn	2	2
pământul	1	2
porumb	2	2
săvîrșirea	2	1
slovă	2	1
dragoste	1	1
ulițelor	2	1
cîștiga	2	1
porcilor	2	2
bube	1	1
vînturile	1	1
dos	2	2
sabie	1	1
lupilor	2	2
ureache	2	1
născuți	1	2
cenușă	1	1
groapă	1	1
marginea	2	1
holda	1	1
măsuri	2	1
lume	2	1
strajă	2	1
orbu	2	2
porțile	2	1
corturi	2	1
gânduri	1	1
miez	2	2
mână	2	1
de	2	2
cuțit	2	2
mândre	2	1
bășici	2	1
fălci	1	1
soc	2	2
cal	2	2
foamei	2	1
răvaș	2	2
domn	2	2
colacului	1	2
herghelii	1	1
meri	2	2
portiță	2	1
vârfurile	2	1
urdă	2	1
gherghef	1	2
drag	2	2
leului	2	2
merișor	2	2
seceri	1	1
spinare	2	1
dropii	2	1
poli	2	2
undele	2	1
marelui	1	2
cină	1	1
căldărilor	2	1
limbii	1	1
zăpada	1	1
bărbatului	1	2
dumnezău	1	2
zisă	1	1
praznicul	2	2
pază	2	1
pretor	2	2
făptura	1	1
veselie	1	1
mărire	2	1
iudea	1	2
înțelepciunea	1	1
ispita	1	1
zuo	2	1
legei	1	1
bogaților	2	2
mortul	1	2
vîntului	2	2
fie	2	1
ulițele	1	1
soru	2	2
plin	1	2
lăcomie	2	1
botez	2	2
vulpi	2	1
cărări	2	1
cîmp	2	2
sînul	1	2
neguțătorii	2	2
darea	2	1
armei	1	1
făcători	2	2
făcătorii	2	2
fapte	2	1
adevărul	1	2
sunetul	2	2
lac	2	2
corabia	1	1
sămânța	1	1
fur	2	2
geamăn	2	2
tunet	2	2
sălașuri	2	1
pârâul	2	2
coastele	1	1
cărţi	1	1
sunet	2	2
avuțiile	1	1
uricele	2	1
ușilor	2	1
fecioru	2	2
razim	2	2
carul	2	2
sfinți	2	2
creștini	2	2
ceață	2	1
diaconii	2	2
rîu	2	2
hotar	1	2
meșterilor	2	2
ispite	1	1
tabără	2	1
surorii	1	1
vinele	1	1
vadul	2	2
suflarea	2	1
auzul	2	2
primă	2	1
corona	2	1
sloboziei	2	1
veninul	2	2
sfîntului	2	2
aleșilor	2	2
lapte	1	2
îmbrăcarea	2	1
