word	prediction	label
oratoria	1	1
aplazamiento	2	2
presidente	2	2
partida	2	1
fuerzas	1	1
experiencia	1	1
imparcialidad	2	1
general	2	2
rueda	1	1
centenar	2	2
cargo	1	2
encuestas	1	1
corrupción	1	1
venganzas	1	1
tranquilidad	1	1
contenedores	2	2
ahorro	1	2
señor	2	2
dientes	2	2
rebajas	2	1
pañal	2	2
ética	1	1
puñado	2	2
embestida	2	1
lección	1	1
tiempo	2	2
cenas	1	1
balón	2	2
cosas	1	1
patio	1	2
conjunto	2	2
estragos	2	2
paladar	2	2
distancias	2	1
pases	2	2
susurros	1	2
entereza	2	1
conflictos	1	2
posibilidad	2	1
supremacía	1	1
misterio	1	2
secretos	1	2
utilidad	2	1
animales	2	2
frío	2	2
razón	2	1
diseño	1	2
invierno	2	2
nidada	1	1
intereses	2	2
salones	1	2
renta	1	1
padrinos	1	2
escala	2	1
indiscreciones	1	1
mundo	2	2
kilómetros	2	2
efecto	2	2
partes	2	1
manta	2	1
zumo	2	2
ropa	1	1
townships	1	2
paredes	1	1
solera	2	1
casas	1	1
sitio	2	2
pausa	1	1
guerra	1	1
vuelta	2	1
décimo	2	2
temas	1	1
decepciones	1	1
orígenes	1	2
esclavina	2	1
águila	2	1
acontecimientos	2	2
soltero	1	2
asesina	1	1
cocina	1	1
radiografías	2	1
aire	1	2
vigilia	1	1
cansancio	2	2
palmadas	1	1
esquinas	2	1
propaganda	1	1
nombre	1	2
curso	1	2
testigos	2	2
posibilidades	1	1
dependencias	1	1
alumnos	2	2
inicio	1	2
candidatos	1	2
caudillo	2	2
tramo	2	2
director	2	2
institución	1	1
latitudes	1	1
voz	1	1
operaciones	1	1
entrega	1	1
actualidad	1	1
presencia	1	1
agendas	1	1
pabellones	1	2
metros	2	2
vuelos	2	2
selva	1	1
socio	1	2
planes	2	2
gastos	2	2
supresión	1	1
capitán	2	2
izquierdas	1	1
valor	2	2
popularidad	1	1
telespectadores	2	2
gestor	2	2
propina	2	1
cohortes	2	1
discriminación	1	1
agroturismo	2	2
italiano	1	2
ataques	2	2
decisiones	1	1
violaciones	1	1
actuación	1	1
venta	1	1
despegue	2	2
resultados	2	2
camino	2	2
goles	2	2
segundos	2	2
pase	1	2
refrescos	2	2
red	1	1
asesinatos	1	2
impotencia	1	1
cóctel	1	2
defensora	1	1
puertos	2	2
deseos	1	2
entendimiento	1	2
administraciones	1	1
complejidad	1	1
plantilla	2	1
columna	2	1
cárcel	2	1
huérfanos	1	2
vencedores	2	2
grados	1	2
sprint	2	2
efectos	1	2
defensores	2	2
dianas	2	1
avería	2	1
sinsabores	1	2
público	2	2
millón	2	2
concejales	2	2
urbe	2	1
distensión	1	1
comercio	2	2
barriles	2	2
resolución	2	1
propuestas	1	1
riqueza	2	1
trámites	1	2
aval	2	2
redes	1	1
criminalidad	1	1
senador	2	2
iras	2	1
tensiones	1	1
arcos	2	2
demandas	1	1
décadas	1	1
expectativas	2	1
títeres	2	2
reacciones	1	1
censura	1	1
corredoras	2	1
desventajas	1	1
desastre	2	2
debut	1	2
regulación	1	1
mociones	1	1
cámara	2	1
lectura	1	1
tableros	2	2
conocimiento	1	2
gas	2	2
tribuna	2	1
conservación	1	1
artículos	2	2
plomo	2	2
válvulas	2	1
transposición	2	1
credibilidad	1	1
eventualidad	2	1
escena	1	1
fractura	2	1
certificado	1	2
arrendamientos	2	2
transmisiones	1	1
barrancos	2	2
invitación	1	1
manzanas	1	1
decorados	2	2
estatua	2	1
silbidos	2	2
aniquilación	1	1
ayer	2	2
signo	2	2
anchura	2	1
dueños	2	2
luces	1	1
alteración	2	1
sindicato	2	2
área	1	1
renovaciones	1	1
subcampeón	2	2
dedicación	1	1
temporal	2	2
concierto	2	2
corte	1	2
pleitesía	1	1
emoción	1	1
bienio	2	2
videos	2	2
bombín	2	2
clínica	1	1
afición	2	1
esquí	2	2
discusiones	1	1
contrato	2	2
fortuna	1	1
fichajes	2	2
decorado	2	2
aguas	1	1
imágenes	1	1
agobio	1	2
luthiers	1	2
constructor	2	2
técnica	1	1
odios	2	2
padres	1	2
talento	1	2
serenidad	2	1
judo	1	2
inactividad	2	1
párroco	2	2
unanimidad	2	1
estampa	2	1
beneficencia	1	1
cualidades	2	1
amistades	1	1
muertes	1	1
interior	2	2
intercambio	1	2
dudas	1	1
consigna	2	1
precedentes	2	2
mensajes	1	2
fundamento	2	2
espuma	1	1
monarquía	1	1
contrasentido	2	2
apelativo	2	2
herencia	1	1
títere	2	2
republicanos	2	2
utilización	1	1
ansiedad	1	1
corbata	2	1
hoyo	1	2
cajero	2	2
trimestre	2	2
planeta	2	2
tesoro	2	2
dueño	2	2
demarcación	1	1
alianzas	1	1
objeto	2	2
president	2	2
normalización	1	1
captura	2	1
fichero	2	2
hotel	2	2
activos	2	2
trasvase	2	2
pionero	2	2
aulas	1	1
distribuidores	2	2
centrales	1	1
alcaldía	1	1
duración	2	1
descarga	1	1
voces	1	1
delegada	1	1
aperturismo	2	2
palestra	2	1
carros	2	2
drogas	1	1
caballero	2	2
teletexto	2	2
desechos	2	2
festín	2	2
peligro	1	2
polvos	2	2
directivo	2	2
circunstancia	2	1
fe	2	1
membrana	2	1
reptiles	2	2
rubéola	1	1
humanidad	2	1
émbolo	2	2
mecanismo	2	2
invasor	2	2
ánimo	1	2
destreza	1	1
selenio	2	2
distorsión	2	1
sustituyentes	2	2
contraión	2	2
impulsos	2	2
garantía	2	1
duros	2	2
luchas	1	1
industrialización	1	1
cartera	1	1
boletines	2	2
socialismo	2	2
hoyos	1	2
puños	2	2
hilos	2	2
cepillo	1	2
vaso	2	2
solapas	1	1
desdichado	2	2
aristas	2	1
tos	2	1
diagrama	2	2
hojas	2	1
escapadas	1	1
alcaldesa	1	1
patrocinio	1	2
desvío	1	2
sentir	1	2
combustibles	2	2
espadas	2	1
asomo	2	2
biomasa	2	1
rigurosidad	1	1
omega	2	1
viabilidad	1	1
activo	2	2
acogida	1	1
dioses	2	2
pronunciamientos	1	2
espinas	1	1
subcampeonato	2	2
teoría	1	1
alemana	1	1
checo	2	2
comunidades	1	1
impulsor	2	2
ratificación	1	1
sepultura	2	1
deportividad	2	1
anfitrión	2	2
tristeza	1	1
enciclopedia	1	1
amos	2	2
discapacitado	1	2
secreto	1	2
masas	1	1
nerviosismo	1	2
titulares	1	2
unificación	1	1
empresariado	1	2
politiquería	1	1
desembolso	2	2
aeródromo	2	2
autogol	2	2
centavos	2	2
rendimiento	2	2
canastas	1	1
período	2	2
variantes	1	1
navarros	2	2
puentes	1	2
escondite	2	2
natalidad	1	1
metas	2	1
herramienta	2	1
pantalón	2	2
entidades	1	1
análisis	1	2
fungicidas	2	2
cuadrilátero	2	2
delegados	2	2
dióxido	2	2
argumento	2	2
ambulancias	1	1
montaje	1	2
platos	1	2
proposición	1	1
frontera	1	1
mínimo	2	2
preestrenos	1	2
aseguradora	1	1
congresos	1	2
expediente	2	2
transfer	1	2
cortos	2	2
citas	1	1
músico	2	2
precedente	2	2
boom	2	2
vídeos	1	2
cerco	2	2
ambigüedad	1	1
alerta	1	1
elaboración	1	1
revalorización	1	1
judíos	2	2
embestidas	2	1
interpretación	1	1
restablecimiento	1	2
castellano	2	2
nazismo	1	2
desmantelamiento	1	2
independentismo	2	2
tamiz	2	2
editoriales	1	1
neumonía	1	1
matanzas	1	1
anónimos	2	2
rotativo	2	2
desaparición	1	1
productora	1	1
multas	2	1
empleado	2	2
vías	2	1
juicios	1	2
hemorragias	1	1
jeringuillas	1	1
congelación	2	1
casco	2	2
autonomías	1	1
agresiones	1	1
cisternas	1	1
esperas	2	1
ensamblaje	2	2
affaire	1	2
cajas	1	1
vínculo	1	2
innovación	1	1
saneamiento	1	2
peligros	1	2
divisas	2	1
software	2	2
gestores	2	2
desafíos	1	2
invitado	1	2
deterioro	1	2
cautivos	2	2
europeísmo	2	2
reactivación	1	1
cómputo	1	2
pobladores	2	2
indefinidos	2	2
monto	2	2
valoración	1	1
empujones	2	2
estudios	1	2
lino	2	2
morralla	2	1
barrera	1	1
traslación	1	1
rama	1	1
pabellón	2	2
fijación	2	1
ramo	1	2
balanza	2	1
esperpento	2	2
colorines	2	2
pequeño	2	2
chisporroteo	2	2
léxico	1	2
decoro	1	2
pesas	2	1
desierto	2	2
hogar	1	2
ingenuidad	1	1
secano	2	2
cuitas	2	1
parcela	1	1
rasgos	2	2
explorador	2	2
fosfenos	2	2
fragua	2	1
lema	1	2
canarios	2	2
esencia	2	1
eñe	1	1
chabolas	1	1
muchedumbre	2	1
mañanas	1	1
viejos	2	2
científica	1	1
barniz	2	2
significado	1	2
vehemencia	2	1
paralelismo	2	2
armisticio	2	2
grafismo	2	2
ficción	1	1
empaque	1	2
guillotina	2	1
heterodoxia	2	1
botella	2	1
papá	1	2
belén	1	2
tronco	2	2
versos	2	2
gemelos	2	2
precepto	2	2
edades	1	1
bando	2	2
ciernes	1	2
bochorno	1	2
despilfarros	1	2
cabecero	2	2
agarrones	1	2
bruja	2	1
horno	2	2
purificación	1	1
gallo	2	2
jaima	2	1
chiquillo	2	2
detritus	2	2
empellón	2	2
vándalos	2	2
chalet	1	2
galán	2	2
monjes	2	2
manía	1	1
biografía	1	1
fraternidad	1	1
vecinitas	1	1
templo	2	2
cuaderno	2	2
anarquía	1	1
teles	2	1
ventanas	2	1
estrella	1	1
cisma	1	2
reprise	1	1
ilegalidad	1	1
talla	2	1
restante	2	2
crueldad	2	1
clasificados	2	2
ingredientes	2	2
halago	2	2
analogía	2	1
sprinters	2	2
ametralladora	2	1
inexpugnabilidad	2	1
madrileños	2	2
