word	prediction	label
osoba	1	1
wróbla	1	2
pani	1	1
klasztorze	1	2
lekarze	2	2
czasu	1	2
profil	2	2
archeolodzy	2	2
pieniądze	1	2
kierowcy	2	2
obywatele	2	2
niedzielę	2	1
działaczy	2	2
korespondentem	1	2
dnie	1	2
stołu	2	2
występ	2	2
skalę	1	1
stanie	2	2
urwisk	2	0
oddech	2	2
sutki	2	2
ekspert	2	2
część	1	1
dar	1	2
areszcie	2	2
sad	1	2
odwołania	0	0
łóżkiem	1	0
telefonie	1	2
drzewo	0	0
stacji	2	1
aresztu	1	2
katar	2	2
pośle	1	2
autobusy	2	2
zbrodnię	1	1
brzozy	1	1
architektów	0	2
parcelami	1	1
budce	2	1
taniec	1	2
sierotę	1	1
produkt	2	2
miasta	1	0
lata	1	2
życia	0	0
napięcie	1	0
perspektywę	1	1
zakamarki	1	2
awaria	1	1
studiów	1	0
pochodna	2	1
psa	2	2
ramieniem	1	0
przepisy	1	2
kibiców	2	2
firm	1	1
dłonią	1	1
obiedzie	2	2
ulica	1	1
sztandar	1	2
południe	1	0
środka	1	2
brzuszków	1	2
torowisku	1	0
błyskiem	1	2
biurko	1	0
ochotę	0	1
stwór	2	2
szpitala	2	2
sposób	2	2
jednostkami	1	1
załatwienia	0	0
pianistka	1	1
szczęście	0	0
minutę	1	1
komisja	1	1
skrzyżowaniu	0	0
mamy	0	1
kółek	0	0
pokolenia	2	0
placówkach	1	1
nudności	0	1
ręki	2	1
pojęcia	0	0
negocjacje	1	1
ducha	1	2
funky	2	0
nieobecność	0	1
zaufaniem	2	0
plenerze	1	2
twierdzy	1	1
katapulta	1	1
kłamstwem	1	0
pokład	2	2
uczucia	1	0
baleron	2	2
strajku	2	2
duszę	1	1
owce	1	1
urzędnikiem	2	2
piętra	2	0
chwili	1	1
zadowolenie	0	0
przebieg	2	2
alkoholu	2	2
solą	1	1
piwie	2	0
powodzenia	0	0
uznaniem	2	0
bezpieczeństwa	1	0
posłanka	1	1
ziarna	1	0
maturzystów	2	2
śniegu	1	2
sukcesem	2	2
momencie	2	2
zabranie	0	0
kamerą	1	1
materiały	2	2
barze	2	2
wywar	1	2
spis	2	2
godzinie	2	1
rura	1	1
politechniki	1	1
osobą	1	1
program	2	2
projekty	1	2
sala	1	1
scena	1	1
markę	1	1
tekst	2	2
sprawcy	2	2
przestrzeń	1	1
kworum	1	0
inni	2	2
buduarze	2	2
łąki	1	1
dań	1	0
bydło	1	0
przeszkodą	1	1
kumpli	2	2
ludności	2	1
zdziwienia	0	0
ból	2	2
rozwiązanie	0	0
przedstawienie	0	0
rozmowę	1	1
ojczyzną	1	1
komunikatach	1	2
pokoju	0	2
rozgrywkach	2	1
patrzenia	0	0
niepokojem	0	2
wujku	2	2
sejm	1	2
latem	2	0
wstydliwość	1	1
lutym	2	2
internowanych	1	2
przegraną	2	1
numerze	2	2
starówkę	1	1
razie	0	2
zależności	0	1
współmieszkańców	2	2
biura	2	0
pogotowia	2	0
krzesełkach	1	0
poranek	2	2
wokalista	2	2
koguta	2	2
sąsiedzi	2	2
zabytków	1	2
wymienialność	0	1
wydawnictwie	2	0
drogach	1	1
nadawanie	1	0
górników	2	2
poręczy	1	1
obozy	2	2
bankom	2	2
raka	2	2
miłości	1	1
uczta	1	1
zdaniem	0	0
policzek	2	2
karbowy	2	2
sejmik	2	2
klamkę	1	1
kobyły	2	1
stosie	2	2
tapczanie	1	2
wujek	2	2
komputerze	1	2
spódniczki	1	1
aktywności	1	1
szklankę	1	1
bezradność	1	1
opał	1	2
pokoleń	0	0
ogrodzie	1	2
regałami	1	2
winy	1	1
siostra	1	1
cudem	1	2
czekolada	1	1
kosteczki	2	1
fakt	1	2
środku	1	2
kształt	1	2
pacjenci	2	2
końca	0	2
słuchawki	1	1
sukcesie	1	2
siły	1	1
dziewczynki	1	1
senatorowi	2	2
poczekalni	2	1
hodowli	1	1
karnego	1	2
trzepotania	1	0
nazwaniem	1	0
plany	1	2
schroniskach	2	0
facet	2	2
przedsiębiorstw	0	0
szansa	1	1
próbka	1	1
konfliktom	2	2
ukarania	1	0
posesji	1	1
kobieto	1	1
wiceministra	2	2
uchwały	1	1
czaszki	1	1
sierści	1	1
języku	2	2
waleta	2	2
śledztwa	0	0
bohatera	2	2
tramwaju	2	2
myślenie	0	0
dziedzińcu	2	2
planie	1	2
szerokości	1	1
czekoladę	1	1
trudnością	1	1
prokurator	2	2
natura	1	1
prac	1	1
umiejętności	1	1
zgłoszeń	0	0
orzech	2	2
wdowa	1	1
kłopoty	1	2
włamaniu	1	0
turbin	1	1
ochroniarze	2	2
cekaem	2	2
jakość	1	1
ciocią	1	1
papryki	1	1
debatę	1	1
wyroby	0	2
m	1	2
lustrem	1	0
łza	2	1
pranie	1	0
kucek	1	0
komendy	1	1
okrzyków	1	2
budżecie	1	2
osłupieniu	1	0
flagi	1	1
prelekcję	2	1
obrad	0	0
oświadczeń	0	0
bałwochwalstwa	0	0
ojcem	2	2
potknięcia	1	0
poprawką	1	1
radni	2	2
rzeki	1	1
urządzenia	2	0
fort	2	2
deklaracjami	2	1
końcówkę	1	1
stolik	2	2
woli	1	1
czołem	1	0
tacie	2	2
gorąco	2	0
szafka	1	1
zezwolenia	0	0
koszmar	1	2
idea	1	1
wynik	2	2
wapno	2	0
nauczyciela	2	2
ciasta	1	0
urzędnik	2	2
włosów	1	2
sezon	2	2
gali	2	1
młodości	2	1
programie	2	2
samochodzie	2	2
targu	2	2
placówkę	1	1
grypy	1	1
wielbłądy	2	2
manierkę	1	1
eksperci	2	2
muzykanci	2	2
przestrzeni	1	1
klatki	1	1
dziewczyn	1	1
balkonów	1	2
boju	1	2
oddali	2	1
burcie	1	1
togą	1	1
pozyskiwania	0	0
szybkością	1	1
nietykalności	1	1
płótna	1	0
zaraza	2	1
sanie	1	0
świeżością	1	1
rolnik	1	2
stowarzyszenia	0	0
małżeństwo	0	0
koce	1	2
kalosze	1	2
kieliszki	2	2
abonament	2	2
dworze	2	2
bombowiec	2	2
kraj	1	2
alkohole	2	2
humor	2	2
niedosyt	2	2
adiunkt	1	2
ogierów	1	2
giełdę	1	1
szalik	1	2
opory	2	2
wartość	2	1
odmiany	1	1
tłokiem	2	2
ustrojowi	1	2
pracownikiem	1	2
krytycy	2	2
młodych	1	0
mierze	1	1
nagrodą	2	1
argument	2	2
dniem	0	2
dzikiem	2	2
ów	1	2
zróżnicowań	1	0
urodzin	1	0
złotówka	1	1
gangstera	1	2
koncertach	1	2
ośrodek	2	2
fartuch	2	2
nieletni	2	2
powstanie	0	0
liczby	1	1
usług	0	1
lep	2	2
sprzysiężonych	2	2
rozkazów	1	2
pijaństwie	1	0
szafy	1	1
aparatem	1	2
dzieciństwo	1	0
katedry	1	1
druty	1	2
forsę	2	1
koncepcję	1	1
arcybiskupa	2	2
kapelana	2	2
giełda	1	1
burmistrz	2	2
przestrogę	1	1
mowę	2	1
niedziela	1	1
dziewicą	1	1
tomie	2	2
oddłużenie	0	0
antyfony	1	1
zatoczki	1	1
