word	prediction	label
polície	1	1
generálov	2	2
spisy	0	2
lístkami	0	2
biznisu	1	2
oponentom	2	2
nohy	0	1
plemena	2	0
depresia	0	1
vienka	1	2
zámermi	0	2
sobota	2	1
predmetom	2	2
polícii	2	1
informácie	0	1
vojvodstvo	1	0
prorok	2	2
proroci	2	2
arcidiecézy	2	1
náboženstva	2	0
reformu	1	1
janičiari	2	2
disciplínu	0	1
novembra	0	2
dcéry	1	1
osud	0	2
miestodržiteľom	2	2
odstránenie	1	0
armáda	1	1
emigrácii	1	1
marci	0	2
povstalcom	2	2
mašinéria	1	1
práporu	2	2
zavedenie	1	0
žiadosťou	2	1
zvyky	0	2
fez	0	2
konvencii	2	1
ovládnutie	1	0
platnosti	0	1
ťaženie	1	0
júna	0	2
česť	2	1
princeznou	0	1
cirkvou	0	1
prepracovanosťou	2	1
vláda	1	1
rádov	2	2
štátom	0	2
chorobu	1	1
nástupcom	2	2
meteorológie	1	1
čarodejnice	2	1
študentom	2	2
mája	0	2
násilím	0	0
johanitov	2	2
vrchol	2	2
šľachty	0	1
vojska	2	0
tajomník	2	2
umenie	2	0
hry	1	1
antiky	1	1
exarchu	2	2
boji	2	2
zákaz	0	2
autora	2	2
legenda	1	1
republika	0	1
chorobou	0	1
sonda	0	1
prelete	2	2
palivo	0	0
maliarstvu	2	0
diplomacia	1	1
sled	2	2
rozmedzí	1	0
akréciou	2	1
lesy	2	2
jednotu	1	1
oprávnenosti	0	1
pápež	2	2
sneme	0	2
komunizmom	0	2
ríša	0	1
iniciátorom	1	2
dôveru	2	1
dneška	0	2
generácii	0	1
drámy	0	1
politiky	1	1
prenasledovaní	2	0
príbeh	1	2
knihách	0	1
jazykoch	0	2
začiatku	1	2
tému	2	1
dopad	0	2
plyn	0	2
množstve	2	0
vesmíre	2	2
légie	1	1
postavu	1	1
korisťou	2	1
nepriateľovi	2	2
cieľ	0	2
následok	2	2
cherubov	2	2
cherubovia	2	2
pasivita	1	1
obesením	2	0
vyvrcholenie	2	0
konštruktér	2	2
nepriateľ	2	2
univerzite	1	1
myšlienkami	0	1
zenbudhizmus	0	2
tvorbu	0	1
divočiny	1	1
básnikov	0	2
kultúrou	0	1
súd	0	2
monoskop	0	2
zmätky	0	2
podporou	0	1
komisiu	1	1
náčelníka	2	2
eposu	2	2
poznámky	0	1
jazda	0	1
vynálezcu	2	2
súčasnosti	1	1
úloha	1	1
filozofie	2	1
prácami	0	1
úlohe	2	1
epochy	2	1
ilustrátorka	2	1
koncu	0	2
zmluvu	0	1
spojenectvo	2	0
kľud	2	2
osobe	2	1
stabilizácia	1	1
kresby	1	1
stanice	2	1
škole	1	1
zavedeniu	2	0
pripojenie	2	0
maratón	0	2
dej	1	2
roztoku	2	2
molekula	0	1
právnik	2	2
nenávisť	2	1
baziliky	1	1
zostupe	0	2
stability	1	1
astronauti	2	2
rozbitie	1	0
chvenie	1	0
uspokojenie	0	0
téz	2	1
dialektológia	1	1
žobrákom	2	2
osvietencov	2	2
cestovanie	0	0
pietizmu	1	2
obvinenia	1	0
hrdinom	2	2
viceprezidenta	2	2
pilot	2	2
reverendom	2	2
družstvo	0	0
zníženie	1	0
nehnuteľností	0	1
porovnania	1	0
zisky	2	2
útokoch	2	2
emisií	1	1
ochrane	1	1
výskumom	2	2
potraty	0	2
legislatívy	2	1
príspevky	0	2
prehľad	2	2
krajinami	0	1
zameranie	0	0
útokom	2	2
priestorov	2	2
mienka	1	1
záveru	0	2
server	2	2
terorizmu	2	2
účasť	1	1
teroru	2	2
mesiacmi	0	2
dopravy	1	1
ocenením	1	0
haváriu	2	1
havárie	2	1
neutrónov	2	2
obsluhy	2	1
ožiarenia	1	0
množstva	2	0
nárastu	2	2
porovnanie	1	0
kanálov	2	2
druhu	2	2
tony	1	1
existenciu	1	1
gravitácie	2	1
teórie	1	1
geometrie	1	1
gradient	2	2
informáciám	0	1
lúčov	2	2
metrika	0	1
rozklad	2	2
ofenzívu	1	1
vojvodcu	2	2
jazykom	0	2
mena	1	0
odhad	2	2
oddelenie	1	0
kosatiek	2	1
dominancie	1	1
vydry	2	1
vypúšťaním	2	0
zvukov	2	2
predkami	2	2
lovu	1	2
bazénu	2	2
obrazu	1	2
domestikácie	2	1
génov	2	2
rozlohy	2	1
odrody	1	1
kultúre	0	1
lekári	2	2
šľachtenia	1	0
klíčenie	1	0
zemiakov	0	2
mieste	2	0
maltčina	1	1
víťazstve	1	0
zatmenie	2	0
asteroidov	0	2
kráterov	0	2
molekuly	0	1
okom	0	0
oči	0	0
guľa	1	1
interval	2	2
vzdialenostiach	0	1
opustení	2	0
médium	0	0
vnímania	1	0
prístroja	2	2
metódu	1	1
podmienky	0	1
hmotou	0	1
expanzie	1	1
simuláciami	2	1
monopoly	0	2
štátmi	0	2
skúsenosti	1	1
mier	2	2
problémom	0	2
vec	2	1
vecí	2	1
námorníkov	2	2
pásme	0	0
vpád	0	2
mlieka	2	0
laktózu	2	1
spln	2	2
huslí	2	1
sláčika	2	2
husle	2	1
techniky	2	1
strýko	0	2
typ	2	2
plantáž	1	1
astronómii	2	1
vede	2	1
relatívnosti	2	1
silou	2	1
pádu	2	2
sústavy	0	1
bojisko	0	0
ochrancu	1	2
kaštieli	0	2
