word	prediction	label
irreverência	1	1
solidariedade	2	1
audiência	1	1
empresas	1	1
educação	1	1
homem	2	2
concessionária	1	1
comparação	2	1
dado	2	2
projetos	2	2
c	2	2
tarefa	1	1
saladas	1	1
cartões	2	2
roupas	1	1
efeito	2	2
bola	1	1
adaptação	1	1
projeto	2	2
garantias	1	1
juros	1	2
soldados	2	2
acordo	2	2
local	2	2
torcedores	2	2
golfinho	2	2
impostos	2	2
vista	1	1
ministro	2	2
respiração	1	1
programa	2	2
relatório	2	2
tribunal	2	2
tomada	1	1
emergência	2	1
empate	2	2
editor	2	2
lojistas	2	2
marca	1	1
jogador	2	2
perseguição	1	1
casal	2	2
deputados	1	2
nome	2	2
fazenda	1	1
chegada	2	1
interpretação	1	1
repetição	1	1
opções	1	1
pesquisas	1	1
objeto	2	2
tarde	2	1
quadrangular	2	2
pista	1	1
encontro	2	2
formato	2	2
estabilização	1	1
impressão	1	1
ricos	2	2
espreguiçadeiras	1	1
investida	1	1
tocos	2	2
amigo	2	2
racionamento	2	2
usuário	2	2
comportamento	2	2
ruptura	1	1
contemporização	1	1
auréola	2	2
entrada	1	1
bar	2	2
irmão	2	2
apelo	1	2
século	2	2
perfil	2	2
compulsão	1	1
relatividade	1	1
hipótese	1	1
quadrilha	1	1
ataques	2	2
opinião	1	1
nordeste	2	2
substituição	1	1
delegados	2	2
pai	2	2
passagens	1	1
menina	1	1
álbum	2	2
emprego	1	2
conflitos	2	2
flutuação	1	1
conflito	2	2
pisada	1	1
cabeça	2	1
mastectomia	1	1
tema	2	2
custos	2	2
bordo	2	2
breque	2	2
proprietários	2	2
economia	1	1
cotações	1	1
acidente	2	2
comemoração	2	1
homenagem	2	1
captação	1	1
aniversário	2	2
sorte	1	1
leque	2	2
aço	2	2
fase	1	1
inflação	1	1
atendentes	2	2
dívida	1	1
tv	1	1
nativos	2	2
patologistas	2	2
porte	2	2
ferro	1	2
governador	2	2
confecção	1	1
ônibus	2	2
eurodeputado	2	2
pedra	2	1
suspeitas	1	1
azeite	2	2
gramas	2	2
palavras	1	1
passos	2	2
quebras	1	1
gestão	1	1
disparos	2	2
arcebispado	2	2
tratamento	1	2
elenco	2	2
contos	2	2
leste	2	2
paz	1	1
objectiva	1	1
centrista	2	2
arredores	2	2
notícias	1	1
fachada	1	1
visitante	2	2
maquinistas	2	2
superfície	1	1
esforço	2	2
humor	2	2
empresários	2	2
samurai	2	1
crises	1	1
chão	2	2
eleitor	2	2
inquérito	2	2
engenharia	2	1
culturas	1	1
mala	2	1
jovens	2	2
primo	2	2
desvio	2	2
risco	1	2
bolsas	1	1
corporação	1	1
sex	2	2
paulistano	2	2
vereadora	1	1
gripe	1	1
alunos	2	2
empregados	2	2
cineasta	2	2
partidos	2	2
paladar	2	2
existência	1	1
astronomia	1	1
cronograma	2	2
vilões	2	2
fita	1	1
dólar	2	2
regras	1	1
equilíbrio	2	2
elementos	2	2
negociação	1	1
reflexão	1	1
acionista	1	1
indústrias	1	1
hospitalidade	1	1
esgotamento	1	2
tombamento	2	2
moradores	2	2
escola	1	1
exterior	2	2
estética	1	1
concessões	1	1
terras	1	1
fotógrafo	2	2
autoridade	1	1
fauna	1	1
organismos	2	2
computadores	2	2
comitiva	2	1
espaços	2	2
diagnóstico	2	2
responsável	2	2
travão	2	1
aviadores	2	2
advogado	2	2
pés	1	2
concepção	1	1
centrais	2	1
regionais	2	1
pensamento	2	2
verba	1	1
adiamento	2	2
insuficiências	1	1
proximidade	1	1
religiosos	2	2
viragem	1	1
polémica	1	1
acto	2	2
auge	2	2
veleiro	2	2
rebocador	2	2
cabines	1	1
comunicação	1	1
sintomas	1	1
estrada	1	1
combustíveis	1	2
sacos	2	2
acção	1	1
mentira	1	1
concretização	1	1
responsabilidades	1	1
roubo	2	2
fecho	1	2
supercomputador	2	2
alvos	2	2
aviso	2	2
curiosidade	1	1
possibilidades	1	1
aventura	1	1
objectivo	2	2
árbitros	2	2
bandeira	1	1
cosmopolita	2	2
geógrafas	1	1
indivíduos	2	2
culto	1	2
procuração	1	1
televisões	1	1
alemães	2	2
reactores	2	2
beijinhos	1	2
rotina	1	1
vestígios	2	2
leitura	1	1
bilhetes	2	2
repórter	2	2
infinito	2	2
continuação	1	1
metada	1	1
bodes	2	2
constrangimentos	1	2
soluções	1	1
lastro	2	1
ressurgimento	2	2
sessão	1	1
júri	2	2
tímpanos	2	2
peito	2	2
junta	1	1
diamantes	2	2
saída	1	1
festas	1	1
limite	2	2
dupla	1	1
acolhimento	2	2
comendador	2	2
chamas	1	1
considerações	1	1
intervalos	2	2
volvo	2	2
equívocos	2	2
estreia	2	1
vivo	2	2
carrinha	1	1
fornos	2	2
parceiros	2	2
pintura	1	1
touros	2	2
episódios	2	2
parlamentos	2	2
optimismo	2	2
favoritas	2	1
rival	2	1
inferno	2	2
biscates	2	2
deserto	2	2
arquipélago	2	2
fresco	2	2
cimento	1	2
seguir	1	2
lógica	1	1
prostituição	1	1
artes	2	1
erro	2	2
raptores	2	2
delinquentes	2	2
descoberta	1	1
delator	2	2
remorso	2	2
argumentação	1	1
reduções	1	1
cia	1	1
poluição	1	1
vias	1	1
sofrimento	2	2
docentes	2	2
multidão	1	1
editores	2	2
filmagens	1	1
arraiais	2	2
interiores	2	2
afirmação	1	1
conceito	2	2
reinvenção	1	1
maior	2	2
baixos	2	2
ficheiros	2	2
golos	2	2
agregação	1	1
excedente	2	2
s	2	2
performances	1	1
exiguidade	1	1
