word	prediction	label
mlekarn	2	1
kmetijstvo	0	0
deleža	2	2
uporabniki	2	2
zakonodaja	1	1
pravice	1	1
odgovornost	1	1
embalaže	2	1
veleposlanik	2	2
predstavništvo	2	0
delež	2	2
območje	2	0
primeru	2	2
javnostmi	2	1
podatke	1	2
tekst	2	2
novembra	2	2
stik	2	2
prehrana	1	1
prizadevanje	0	0
osamosvojitve	2	1
uporabo	0	1
pravic	2	1
shemo	1	1
pomeni	1	2
čustvo	1	0
pridiganju	0	0
leti	2	0
vodilo	2	0
stila	2	2
stil	2	2
besedilu	2	0
način	2	2
odločenost	1	1
arhiv	2	2
policijo	2	1
novinarja	2	2
policisti	2	2
komisija	1	1
stvari	1	1
privatizacije	1	1
odločitve	2	1
trgih	2	2
tableto	1	1
storitve	1	1
glasov	2	2
okriljem	1	0
deteljice	1	1
nastanitve	2	1
težave	2	1
množica	1	1
sredstev	0	0
zmaga	1	1
prostorom	1	2
obdobje	2	0
generacije	1	1
društva	0	0
zatiranje	0	0
namig	1	2
sokom	2	2
vina	2	0
semenišču	2	0
kruh	2	2
vojaki	2	2
vojsko	1	1
zavodu	2	2
fant	2	2
oblačil	1	0
cena	1	1
zakulisju	1	0
napovednika	2	2
dekleta	1	0
klovna	1	2
cestah	2	1
projekt	2	2
predložitvi	2	1
vlogo	1	1
juhe	1	1
prigrizke	1	2
mobilnost	1	1
odgovarjanja	1	0
mestu	1	0
mikroorganizmom	2	2
svetovalec	2	2
otrokom	2	2
zamero	2	1
romanju	0	0
igralce	2	2
mlin	1	2
zakonov	2	2
postopek	2	2
spremembo	2	1
zmogljivosti	1	1
kapacitet	2	1
probleme	2	2
opozicija	1	1
otroka	1	2
razliko	2	1
državo	1	1
plemenu	2	0
pivom	2	0
mavrico	1	1
blatom	1	0
korakov	2	2
šale	1	1
porazu	2	2
kemoterapija	1	1
znanstvenica	1	1
opazovanju	1	0
konstitucija	1	1
silama	2	1
objavi	2	1
oskrbe	1	1
vlage	1	1
obliki	2	1
hektar	2	2
menjalnika	2	2
literature	1	1
lastnikom	2	2
torbica	1	1
poteku	2	2
čistil	2	0
klopa	2	2
kemikalijami	2	1
ciklame	2	1
lonce	1	2
barvo	1	1
cvetom	2	2
premerom	2	2
oblike	2	1
subvencije	1	1
podlakti	2	1
raziskave	1	1
magnet	2	2
keratin	2	2
spremembe	2	1
vpogleda	2	2
koščke	2	2
napredku	1	2
zdravila	1	0
vprašanje	0	0
posledici	2	1
čast	1	1
tokov	2	2
koordinacije	2	1
praksa	1	1
implementaciji	2	1
mestom	1	0
pomočjo	2	1
izdelkov	2	2
izrekom	2	2
ljubitelji	2	2
banke	2	1
črkami	2	1
točko	1	1
vasi	1	1
preučevanja	0	0
laži	2	1
srečanja	0	0
pevca	2	2
pomena	2	2
številk	2	1
glasbi	2	1
pregon	2	2
sekti	2	1
posoda	1	1
kristali	2	2
wap	2	2
opora	1	1
korenin	2	1
socvetja	1	0
rastiščih	2	0
predstavo	1	1
sodišči	2	0
premoženja	1	0
milijona	2	2
univerzi	2	1
obletnice	2	1
oči	1	2
odstotka	2	2
gotovine	2	1
odvetnika	2	2
zavarovanje	0	0
strategije	1	1
orožje	0	0
zahodu	2	2
pretres	1	2
osamljenosti	2	1
galerija	2	1
odredbi	2	1
napisom	2	2
plastik	2	1
virov	2	2
običajev	1	2
vreče	1	1
poseg	2	2
krogu	0	2
vrtec	1	2
organizaciji	2	1
okrilje	1	0
pokala	2	2
večino	1	1
naravi	2	1
avditorij	2	2
predstava	1	1
golf	2	2
golfu	2	2
vlado	1	1
oprostitev	1	1
poreklu	1	0
pogodbo	1	1
zanimanje	0	0
mreži	1	1
prodaje	2	1
bolnika	2	2
tekmovalk	1	1
krompir	2	2
omrežje	1	0
ljubitelje	2	2
duša	1	1
soseda	1	1
prakse	2	1
kultur	2	1
spopad	2	2
militarizma	2	2
prehranjevanja	2	0
sprejemanja	2	0
kuhinje	1	1
glasilke	2	1
strahu	2	2
varovanje	0	0
lažnivca	2	2
znamenji	2	0
skupek	2	2
odgovorom	2	2
cigaretah	1	1
konkurence	1	1
oknu	1	0
kolesa	2	0
reševanje	0	0
povišanja	2	0
prejemnice	1	1
učenja	0	0
kraje	1	2
prašiča	2	2
mutacij	2	1
apoptoza	2	1
žice	1	1
montažo	2	1
doto	1	1
izvršbo	1	1
dogovor	2	2
koruzo	1	1
miz	2	1
gostje	2	2
bok	2	2
ravnotežje	2	0
teksta	2	2
konceptov	2	2
bistvom	2	0
izgradnjo	1	1
ofenzivo	1	1
arheologa	2	2
objem	1	2
arheologije	2	1
pripombo	1	1
materialov	2	2
pečici	2	1
občina	1	1
gibanj	2	0
lova	2	2
mitov	2	2
ustvarjanje	0	0
mitih	2	2
prepad	2	2
bombo	1	1
napetostjo	1	1
php	2	2
velikosti	2	1
programi	2	2
mrežo	1	1
bik	2	2
obraza	2	2
muhe	1	1
