word	prediction	label
osoba	1	1
wróbla	1	2
pani	1	1
klasztorze	2	2
lekarze	2	2
czasu	2	2
profil	2	2
archeolodzy	2	2
pieniądze	1	2
kierowcy	2	2
obywatele	2	2
niedzielę	2	1
działaczy	2	2
korespondentem	2	2
dnie	1	2
stołu	1	2
występ	2	2
skalę	2	1
stanie	1	2
urwisk	2	0
oddech	2	2
sutki	1	2
ekspert	2	2
część	1	1
dar	1	2
areszcie	2	2
sad	1	2
odwołania	0	0
łóżkiem	1	0
telefonie	2	2
drzewo	1	0
stacji	2	1
aresztu	2	2
katar	2	2
pośle	2	2
autobusy	2	2
zbrodnię	0	1
brzozy	0	1
architektów	2	2
parcelami	0	1
budce	2	1
taniec	2	2
sierotę	1	1
produkt	2	2
miasta	0	0
lata	0	2
życia	0	0
napięcie	2	0
perspektywę	1	1
zakamarki	1	2
awaria	1	1
studiów	1	0
pochodna	2	1
psa	2	2
ramieniem	1	0
przepisy	1	2
kibiców	2	2
firm	2	1
dłonią	1	1
obiedzie	2	2
ulica	1	1
sztandar	2	2
południe	2	0
środka	2	2
brzuszków	1	2
torowisku	1	0
błyskiem	1	2
biurko	1	0
ochotę	2	1
stwór	2	2
szpitala	2	2
sposób	1	2
jednostkami	0	1
załatwienia	1	0
pianistka	1	1
szczęście	1	0
minutę	1	1
komisja	1	1
skrzyżowaniu	1	0
mamy	2	1
kółek	0	0
pokolenia	2	0
placówkach	0	1
nudności	1	1
ręki	1	1
pojęcia	1	0
negocjacje	2	1
ducha	1	2
funky	2	0
nieobecność	1	1
zaufaniem	0	0
plenerze	2	2
twierdzy	2	1
katapulta	2	1
kłamstwem	0	0
pokład	0	2
uczucia	1	0
baleron	2	2
strajku	1	2
duszę	0	1
owce	2	1
urzędnikiem	1	2
piętra	2	0
chwili	2	1
zadowolenie	0	0
przebieg	2	2
alkoholu	0	2
solą	0	1
piwie	2	0
powodzenia	0	0
uznaniem	0	0
bezpieczeństwa	1	0
posłanka	1	1
ziarna	1	0
maturzystów	2	2
śniegu	1	2
sukcesem	2	2
momencie	2	2
zabranie	0	0
kamerą	2	1
materiały	2	2
barze	1	2
wywar	2	2
spis	2	2
godzinie	2	1
rura	0	1
politechniki	1	1
osobą	2	1
program	2	2
projekty	1	2
sala	1	1
scena	1	1
markę	2	1
tekst	2	2
sprawcy	2	2
przestrzeń	1	1
kworum	0	0
inni	2	2
buduarze	1	2
łąki	0	1
dań	1	0
bydło	0	0
przeszkodą	1	1
kumpli	2	2
ludności	2	1
zdziwienia	1	0
ból	1	2
rozwiązanie	0	0
przedstawienie	0	0
rozmowę	2	1
ojczyzną	1	1
komunikatach	0	2
pokoju	0	2
rozgrywkach	2	1
patrzenia	1	0
niepokojem	0	2
wujku	2	2
sejm	2	2
latem	2	0
wstydliwość	1	1
lutym	2	2
internowanych	2	2
przegraną	1	1
numerze	2	2
starówkę	2	1
razie	1	2
zależności	1	1
współmieszkańców	2	2
biura	1	0
pogotowia	2	0
krzesełkach	2	0
poranek	2	2
wokalista	2	2
koguta	0	2
sąsiedzi	2	2
zabytków	2	2
wymienialność	1	1
wydawnictwie	2	0
drogach	1	1
nadawanie	0	0
górników	1	2
poręczy	1	1
obozy	2	2
bankom	2	2
raka	0	2
miłości	1	1
uczta	1	1
zdaniem	0	0
policzek	2	2
karbowy	2	2
sejmik	2	2
klamkę	2	1
kobyły	0	1
stosie	0	2
tapczanie	0	2
wujek	1	2
komputerze	2	2
spódniczki	1	1
aktywności	0	1
szklankę	2	1
bezradność	1	1
opał	0	2
pokoleń	1	0
ogrodzie	0	2
regałami	0	2
winy	0	1
siostra	1	1
cudem	1	2
czekolada	1	1
kosteczki	1	1
fakt	1	2
środku	1	2
kształt	1	2
pacjenci	2	2
końca	1	2
słuchawki	2	1
sukcesie	2	2
siły	1	1
dziewczynki	1	1
senatorowi	2	2
poczekalni	0	1
hodowli	1	1
karnego	2	2
trzepotania	0	0
nazwaniem	1	0
plany	1	2
schroniskach	2	0
facet	2	2
przedsiębiorstw	0	0
szansa	1	1
próbka	1	1
konfliktom	0	2
ukarania	0	0
posesji	0	1
kobieto	1	1
wiceministra	1	2
uchwały	1	1
czaszki	2	1
sierści	1	1
języku	2	2
waleta	1	2
śledztwa	0	0
bohatera	1	2
tramwaju	2	2
myślenie	0	0
dziedzińcu	2	2
planie	0	2
szerokości	1	1
czekoladę	1	1
trudnością	2	1
prokurator	2	2
natura	1	1
prac	0	1
umiejętności	1	1
zgłoszeń	0	0
orzech	1	2
wdowa	1	1
kłopoty	1	2
włamaniu	0	0
turbin	0	1
ochroniarze	2	2
cekaem	2	2
jakość	1	1
ciocią	1	1
papryki	1	1
debatę	2	1
wyroby	0	2
m	0	2
lustrem	1	0
łza	1	1
pranie	0	0
kucek	2	0
komendy	2	1
okrzyków	2	2
budżecie	2	2
osłupieniu	0	0
flagi	1	1
prelekcję	2	1
obrad	2	0
oświadczeń	2	0
bałwochwalstwa	0	0
ojcem	1	2
potknięcia	1	0
poprawką	1	1
radni	2	2
rzeki	2	1
urządzenia	2	0
fort	2	2
deklaracjami	0	1
końcówkę	1	1
stolik	2	2
woli	1	1
czołem	2	0
tacie	1	2
gorąco	2	0
szafka	1	1
zezwolenia	0	0
koszmar	2	2
idea	1	1
wynik	2	2
wapno	0	0
nauczyciela	2	2
ciasta	1	0
urzędnik	2	2
włosów	1	2
sezon	2	2
gali	1	1
młodości	1	1
programie	2	2
samochodzie	2	2
targu	2	2
placówkę	2	1
grypy	1	1
wielbłądy	2	2
manierkę	1	1
eksperci	2	2
muzykanci	2	2
przestrzeni	0	1
klatki	1	1
dziewczyn	1	1
balkonów	1	2
boju	1	2
oddali	2	1
burcie	1	1
togą	1	1
pozyskiwania	0	0
szybkością	1	1
nietykalności	1	1
płótna	1	0
zaraza	0	1
sanie	2	0
świeżością	0	1
rolnik	1	2
stowarzyszenia	2	0
małżeństwo	0	0
koce	1	2
kalosze	1	2
kieliszki	0	2
abonament	2	2
dworze	2	2
bombowiec	2	2
kraj	1	2
alkohole	0	2
humor	1	2
niedosyt	1	2
adiunkt	1	2
ogierów	2	2
giełdę	2	1
szalik	1	2
opory	1	2
wartość	2	1
odmiany	1	1
tłokiem	2	2
ustrojowi	2	2
pracownikiem	1	2
krytycy	2	2
młodych	1	0
mierze	1	1
nagrodą	1	1
argument	2	2
dniem	1	2
dzikiem	2	2
ów	1	2
zróżnicowań	1	0
urodzin	1	0
złotówka	1	1
gangstera	2	2
koncertach	1	2
ośrodek	2	2
fartuch	2	2
nieletni	2	2
powstanie	1	0
liczby	1	1
usług	0	1
lep	2	2
sprzysiężonych	2	2
rozkazów	1	2
pijaństwie	0	0
szafy	1	1
aparatem	2	2
dzieciństwo	1	0
katedry	2	1
druty	1	2
forsę	2	1
koncepcję	1	1
arcybiskupa	2	2
kapelana	0	2
giełda	1	1
burmistrz	2	2
przestrogę	2	1
mowę	2	1
niedziela	1	1
dziewicą	1	1
tomie	1	2
oddłużenie	1	0
antyfony	0	1
zatoczki	1	1
