word	prediction	label
pritužbi	1	1
upravljanja	0	0
zaposlenici	2	2
primjer	2	2
vlasnik	2	2
poslove	2	2
većina	1	1
iznos	2	2
ravnatelj	2	2
mogućnosti	1	1
ishoda	1	2
slučaj	2	2
uvjeta	1	2
dužnosnik	2	2
rješenje	0	0
ujedinjenje	1	0
trendova	1	2
ljudima	0	2
dogovora	1	2
predsjednik	2	2
izvješće	0	0
borbama	0	1
područjem	0	0
stanovništvo	1	0
dužnosnicima	0	2
protektorat	2	2
paralela	0	1
tenzija	1	1
ispadanja	1	0
kupu	2	2
utakmici	0	1
uspon	2	2
momčadi	2	1
stadiona	2	2
izjave	1	1
loptu	2	1
hotel	2	2
udruga	0	1
zabranu	1	1
paradi	0	1
otvorima	0	2
park	2	2
lokacije	2	1
rijeke	1	1
nasilje	1	0
udarci	2	2
skupu	2	2
dječaka	2	2
snimak	2	2
incidenta	1	2
mediji	2	2
normalnost	1	1
napada	1	2
privlačenjem	1	0
vijesti	0	1
večera	0	1
događanja	1	0
finalista	2	2
projekta	2	2
finalu	0	2
subote	0	1
sudova	1	2
glasovanjem	0	0
dvojica	2	1
predsjednica	0	1
parlament	2	2
kriza	1	1
materijal	0	2
odluku	0	1
polje	0	0
odgode	1	1
zaštitu	1	1
države	1	1
okviru	1	2
dokumentu	2	2
građana	2	2
nacionalnost	1	1
materijala	2	2
način	0	2
nezaposlenosti	1	1
dugom	0	2
kreditima	0	2
dugove	2	2
kraja	0	2
financija	2	1
izvoz	0	2
milijardi	1	1
utrke	2	1
zločini	2	2
stilom	0	2
teritorijem	0	2
programa	0	2
gradonačelnik	2	2
koalicije	2	1
gradonačelnika	1	2
opstrukcije	1	1
amandmana	2	2
načelima	0	0
nepoštivanje	1	0
priopćenju	0	0
zamjenika	1	2
putovanje	0	0
predmet	2	2
pistom	0	1
dizajnera	0	2
trendu	2	2
kreaciju	1	1
dizajnerica	2	1
revija	0	1
tisuća	1	1
manekenka	1	1
studio	2	2
potrošača	2	2
tima	1	2
svezi	0	1
oživljavanje	1	0
predstavnici	2	2
veleposlanik	2	2
zdravstvo	2	0
razlozima	2	2
ujedinjenja	1	0
predsjedništva	1	0
ovlasti	1	1
trenutka	1	2
reformama	0	1
krugovima	2	2
slučaju	1	2
napredovanje	1	0
pogoršanje	1	0
procese	1	2
izbori	2	2
bod	1	2
papi	2	2
težnjama	0	1
kolegom	0	2
policijom	1	1
aranžmani	0	2
račun	2	2
štete	1	1
kolovoz	0	2
general	2	2
mostova	1	2
katastrofa	2	1
hepatitisa	2	2
koordinaciju	1	1
šuma	0	1
tržišta	1	0
trend	2	2
