word	prediction	label
apă	1	1
măgurii	2	1
undița	1	1
oaia	2	1
morii	2	1
ochiul	2	2
munți	2	2
ceriului	2	2
soțul	2	2
ținerea	0	1
trup	0	2
poruncile	1	1
corabii	2	2
uricul	2	2
sara	1	1
moarte	2	1
asin	2	2
evanghelie	2	1
lauda	2	1
fătul	2	2
rodul	2	2
împăratului	2	2
nunta	1	1
banul	2	2
știutori	2	2
veșmintelor	0	1
găină	2	1
casele	1	1
cimbrul	2	2
zilele	1	1
găina	1	1
sfărșitul	2	2
sfîrșit	1	2
apus	2	2
slavă	0	1
potop	2	2
giudețul	0	2
talant	2	2
îngerilor	2	2
preț	2	2
testament	2	2
iuda	2	2
sfîrșitul	1	2
nazarineanul	2	2
sînge	2	2
trestie	2	1
iisus	0	2
păzitori	2	2
frică	1	1
predoslovia	2	1
cărții	2	1
împărăției	0	1
peri	1	2
învățătură	0	1
stricăciunea	0	1
podul	2	2
fiii	2	2
mijloc	2	2
sora	2	1
taina	1	1
frigare	1	1
vară	2	1
jocul	2	2
dată	2	1
copii	2	1
față	0	1
coțofană	1	1
jalea	2	1
grajd	2	2
venit	2	2
stelelor	2	1
cununie	0	1
frunză	2	1
oră	2	1
frate	2	2
mireasă	1	1
praguri	1	1
viorele	1	1
cetina	1	1
fetele	1	1
mireasma	1	1
colac	2	2
floricica	1	1
oglindă	1	1
noră	1	1
clocotici	1	2
oală	2	1
căsuță	1	1
răcoare	1	1
mohor	1	2
negură	2	1
dimineață	2	1
tipografie	0	1
milostivire	0	1
feciorul	2	2
crailor	2	2
psalm	2	2
idoli	2	2
arma	2	1
hramul	1	2
izvorul	2	2
dar	1	2
făgăduința	0	1
îndemnarea	0	1
ai	2	2
somn	2	2
pământul	2	2
porumb	2	2
săvîrșirea	0	1
slovă	1	1
dragoste	1	1
ulițelor	0	1
cîștiga	2	1
porcilor	2	2
bube	2	1
vînturile	2	1
dos	2	2
sabie	2	1
lupilor	2	2
ureache	2	1
născuți	2	2
cenușă	2	1
groapă	2	1
marginea	1	1
holda	1	1
măsuri	0	1
lume	2	1
strajă	2	1
orbu	2	2
porțile	2	1
corturi	0	1
gânduri	1	1
miez	2	2
mână	1	1
de	2	2
cuțit	2	2
mândre	0	1
bășici	2	1
fălci	2	1
soc	2	2
cal	2	2
foamei	2	1
răvaș	2	2
domn	2	2
colacului	1	2
herghelii	2	1
meri	1	2
portiță	1	1
vârfurile	1	1
urdă	2	1
gherghef	2	2
drag	0	2
leului	2	2
merișor	2	2
seceri	2	1
spinare	1	1
dropii	2	1
poli	2	2
undele	2	1
marelui	2	2
cină	1	1
căldărilor	2	1
limbii	2	1
zăpada	1	1
bărbatului	1	2
dumnezău	0	2
zisă	1	1
praznicul	2	2
pază	2	1
pretor	2	2
făptura	1	1
veselie	1	1
mărire	0	1
iudea	2	2
înțelepciunea	1	1
ispita	1	1
zuo	2	1
legei	1	1
bogaților	2	2
mortul	2	2
vîntului	2	2
fie	2	1
ulițele	1	1
soru	2	2
plin	2	2
lăcomie	2	1
botez	0	2
vulpi	2	1
cărări	1	1
cîmp	2	2
sînul	2	2
neguțătorii	2	2
darea	0	1
armei	2	1
făcători	2	2
făcătorii	2	2
fapte	0	1
adevărul	1	2
sunetul	2	2
lac	2	2
corabia	2	1
sămânța	2	1
fur	2	2
geamăn	2	2
tunet	2	2
sălașuri	2	1
pârâul	2	2
coastele	1	1
cărţi	2	1
sunet	2	2
avuțiile	2	1
uricele	2	1
ușilor	0	1
fecioru	2	2
razim	1	2
carul	2	2
sfinți	0	2
creștini	2	2
ceață	2	1
diaconii	2	2
rîu	2	2
hotar	2	2
meșterilor	2	2
ispite	1	1
tabără	2	1
surorii	2	1
vinele	1	1
vadul	2	2
suflarea	0	1
auzul	1	2
primă	2	1
corona	1	1
sloboziei	0	1
veninul	2	2
sfîntului	2	2
aleșilor	1	2
lapte	1	2
îmbrăcarea	0	1
vii	2	2
sărutarea	0	1
domniilor	2	1
nevoință	1	1
pruncilor	0	2
părtaș	2	2
vecinătate	1	1
lup	2	2
înnoirea	0	1
năravuri	1	1
fericirea	0	1
foamea	1	1
inimei	2	1
ramurile	1	1
străinilor	2	2
gazda	2	1
creștinul	0	2
omenești	0	2
răpitorii	2	2
necredincios	2	2
frăția	1	1
trufie	2	1
lauta	1	1
chipu	0	2
table	0	1
lipse	1	1
necurat	2	2
vitejii	2	1
slăbiciuni	1	1
venitul	2	2
efesul	2	2
moșii	0	1
vîrstei	1	1
carnea	1	1
mirodenie	1	1
smereniei	2	1
puterea	1	1
în	1	2
dobîndirea	0	1
unulu	2	2
tinere	1	1
părerile	1	1
lucrările	2	1
eretici	2	2
trupuri	2	1
nefolosirea	2	1
lînă	0	1
leilor	2	2
prinși	2	2
aramei	2	1
viețuitori	2	2
stemele	2	1
iadul	2	2
cădelnița	0	1
călărașilor	2	2
fiara	2	1
strugurii	2	2
curve	1	1
robii	0	2
scris	2	2
zidului	2	2
clop	2	2
prânz	1	2
toamnă	2	1
urât	1	2
inele	1	2
gândurile	1	1
volbura	1	1
