word	prediction	label
gadu	0	2
ūdens	1	2
saskarsmes	0	1
vasarā	2	1
skolotāji	2	2
gadiem	2	2
sievietei	1	1
audiem	0	2
formu	2	1
operācijas	1	1
lidmašīnu	1	1
galu	2	2
operācijā	1	1
koki	1	2
vīra	1	2
miers	1	2
grants	1	2
braucieniem	2	2
dūres	2	1
līča	2	2
līčiem	2	2
atceļā	0	2
fotogrāfija	1	1
gaisma	2	1
sniegs	0	2
kažociņš	2	2
skropstu	1	1
bārmenis	2	2
tirgū	2	2
nagu	2	2
kāju	0	1
dūmu	2	2
paneļi	2	2
tēju	1	1
nepatiku	2	1
durvis	1	1
glāzē	1	1
ķermeņus	0	2
auskars	0	2
emociju	2	1
ēnām	2	1
randiņu	2	2
kājai	1	1
caurumiem	2	2
mute	1	1
stāvs	1	2
veidā	2	2
seju	1	1
vīns	2	2
filma	1	1
plecus	0	2
darba	2	2
augumam	2	2
tirdzniecībā	0	1
graudi	1	2
bariņš	2	2
tēvu	2	2
sarunām	2	1
nāve	0	1
saulē	0	1
domu	2	1
rēķinu	1	2
lakatu	2	2
mašīnas	1	1
jūras	2	1
ķermenis	2	2
dušas	1	1
bedrītē	0	1
lūpām	2	1
laiks	1	2
vidusskolu	2	1
reizēs	1	1
nodokli	0	2
bērnudārzu	1	2
gultā	0	1
zvejas	0	1
meži	0	2
mežotnes	2	1
buru	1	1
joku	1	2
apkārtne	1	1
beigas	2	1
dambim	2	2
ielāpu	0	2
mākoņi	0	2
tūkstošiem	2	2
vārdi	0	2
grīda	1	1
verandas	1	1
apmeklējums	2	2
šķūnī	0	2
ieliņu	2	1
sapulci	2	1
navigācijai	1	1
atbildība	1	1
šķēršļi	1	2
lapa	2	1
uzraudzības	1	1
saņemšanas	0	1
emitents	2	2
pakalpojumus	1	2
elektroenerģijas	2	1
bērns	2	2
vara	1	1
spēkiem	2	2
objektiem	2	2
bibliotēkas	1	1
intereses	1	1
balli	2	1
režīmā	2	2
maiss	0	2
izmērs	2	2
latviešu	1	2
mitoloģijā	1	1
auglību	1	1
garumā	0	2
piedāvājumiem	2	2
rosme	1	1
veselības	0	1
interešu	1	1
pētnieki	2	2
reliģijas	1	1
dievam	2	2
grupā	2	1
britu	2	2
ziemas	0	1
atmiņas	2	1
iemesls	2	2
minūšu	1	1
skolās	1	1
kriminālprocess	0	2
vadītāju	2	2
kalpi	1	2
grāvī	0	2
zirgam	1	2
vadītājs	2	2
trijniekā	2	2
novads	2	2
opozīcijas	1	1
godam	1	2
meitiņu	1	1
pirmdienu	1	1
mediķi	2	2
brauktuves	0	1
orhidejas	1	1
kūlas	1	1
ģenerālprokuratūras	1	1
ķerra	1	1
nodarbinātības	1	1
galvaspilsētā	2	1
centība	1	1
zagļi	2	2
maksātāju	2	2
uzvedība	0	1
īpašumā	0	2
pozīciju	1	1
līkumā	2	2
pozīcijā	2	1
staru	2	2
eksemplāru	2	2
puikas	2	2
darbos	2	2
aizsaulē	0	1
vēstījumā	0	2
direktors	2	2
galā	1	2
celtniecību	0	1
piebūve	1	1
stabi	0	2
telpa	1	1
pienākumus	1	2
zināšanas	0	1
autoriem	2	2
sadarbība	1	1
darbību	1	1
ārstniecības	1	1
iespēja	1	1
dārzeņus	2	2
minerālvielu	2	1
platumu	0	2
bēniņos	0	2
brūces	2	1
īkšķa	2	2
locītava	0	1
situācija	1	1
noplūde	1	1
gaidās	2	1
veselumu	1	2
koncentrācijā	2	1
pulss	2	2
pārkāpumus	1	2
profesors	2	2
miljoni	2	2
salīdzinājumā	2	2
rekonstrukcijas	0	1
darbinieki	2	2
sociālistu	2	2
prezidente	2	1
argumentu	0	2
liepiņas	1	1
kilogramiem	2	2
groziem	2	2
ziemā	2	1
dzīvokļu	0	2
platība	2	1
darījumos	1	2
gļotādu	2	1
mācību	1	1
valsti	2	1
ritmā	1	2
spējas	2	1
kvalitāti	2	1
uzstādīšanu	0	1
drosme	1	1
bezvējš	1	2
patiesība	1	1
teātris	0	2
izbraukumos	1	2
dejotājas	2	1
lēmumus	1	2
saulīte	1	1
medībām	2	1
izjūtas	1	1
mūsdienu	2	1
mēru	1	2
aģentūrā	1	1
saistībā	0	1
dome	1	1
līdzekļiem	2	2
kontroli	0	1
termiņš	2	2
uztraukums	2	2
termiņu	2	2
reģioniem	0	2
konkurences	1	1
faktorus	2	2
asociācijas	2	1
datiem	2	2
lata	1	2
nafta	1	1
vēlmi	1	1
instalāciju	2	1
klientu	2	2
karšu	1	1
apsaimniekošanas	0	1
pašvaldību	1	1
apstākļi	0	2
likumdošanā	2	1
vākšanas	0	1
izveidi	1	1
pamatā	1	2
attīrīšanas	0	1
sagatavošanu	1	1
gāzi	2	1
milimetru	0	2
poligonos	1	2
nostāja	2	1
politikas	2	1
sūkņiem	2	2
uzdevumi	1	2
perioda	1	2
sadalījums	2	2
samaksas	2	1
plāniem	2	2
rūpnīcas	1	1
mazbērniem	2	2
iekšlietu	2	1
kontrolpaketi	2	1
stāvokli	0	2
policija	1	1
fenomens	2	2
sašutumu	1	2
cilvēkā	2	2
varoni	2	2
fragmenti	1	2
kāzās	2	1
princis	2	2
aktierim	1	2
pavasaris	2	2
filmēšanās	1	1
riņķī	1	2
izmaiņas	2	1
iekāres	2	1
dziesma	2	1
apsargi	2	2
nams	2	2
mājvietā	1	1
lomā	1	1
mūziķus	2	2
projektā	2	2
pulkam	1	2
ezera	2	2
hormonu	2	2
ābolus	0	2
ābola	1	2
ābolu	2	2
ziemai	2	1
malas	2	1
šķidrums	1	2
pateicībā	0	1
jautājumus	2	2
apkarošanas	2	1
sētā	1	1
vējus	2	2
aviācijas	1	1
parafīna	2	2
mērķis	2	2
zemeņu	0	1
iemaņas	2	1
kolēģis	2	2
vasaras	2	1
slīpumu	1	2
izturība	1	1
deputāti	1	2
runātāji	2	2
izveidošanu	2	1
kriminālprocesa	1	2
analīzei	1	1
pārstāvji	2	2
politika	2	1
periodā	1	2
elastību	1	1
pētniecības	2	1
periodos	1	2
pasākumu	1	2
aicinājumam	2	2
cionismu	2	2
glābiņš	2	2
kokmateriālu	2	2
uzskatos	2	2
fotogrāfiju	0	1
pavalstniecības	1	1
demokrātiju	2	1
zinātnē	2	1
kongresa	2	2
sīktirdzniecību	0	1
joslā	0	1
sapratne	0	1
stadijas	1	1
laukumu	1	2
karalis	2	2
locekļu	0	2
ietekme	1	1
zodiaka	1	2
laimi	0	1
autobusā	2	2
šķīvi	0	2
mēlēm	2	1
lidošanas	0	1
miegā	2	2
tekstus	2	2
pilsētu	2	1
varā	2	2
fotogrāfa	2	2
uguntiņa	1	1
jenotu	2	2
pamatos	2	2
pabeigšanu	1	1
jenota	1	2
reižu	0	1
putnus	2	2
cauruļu	2	1
nabagmājas	1	1
gaisu	1	2
putekļos	2	2
vainas	1	1
piemēra	1	2
putra	1	1
kātu	0	2
istabas	1	1
liellopa	2	2
zvērs	2	2
žīdi	2	2
čigāni	2	2
domāšanā	2	1
bildes	2	1
baļķu	0	2
kapiem	0	2
rumpi	0	2
milti	1	2
smiltīs	1	1
spoli	2	1
dzeju	2	1
stilam	2	2
kovārņu	1	2
dēļus	2	2
darīšanās	0	1
ellē	0	1
ātrumā	1	2
slota	0	1
sēklu	0	1
pants	2	2
ietvaros	2	2
administrācijai	2	1
saņēmējam	2	2
izņēmuma	2	2
apstākļu	0	2
būvniecības	0	1
interpretācijas	1	1
vadības	1	1
administrācija	2	1
nosacījumiem	0	2
biedrība	2	1
rindā	2	1
domās	1	1
gaidām	2	1
audekla	0	2
perspektīvas	1	1
televizora	1	2
palīdze	2	1
portālā	2	2
lugas	1	1
raganu	2	1
maija	0	2
telpām	0	1
