word	prediction	label
motivo	0	2
spia	3	1
tramonto	3	2
materiale	0	2
chiesa	3	1
platee	3	1
parte	3	1
vacanze	3	1
tentennamenti	3	2
lenti	3	1
invidia	3	1
forma	3	1
telespettatore	0	2
dimissioni	3	1
ricchezza	3	1
escursionisti	3	2
accuse	3	1
giustizia	3	1
festival	3	2
delitti	3	2
ora	3	1
fatto	0	2
contemplazione	3	1
tornanti	3	2
sicurezza	3	1
nozze	3	1
stimolo	3	2
ritorno	3	2
pozzetto	3	2
vacanza	3	1
bambini	0	2
bar	3	2
secoli	3	2
miliardi	0	2
ceramica	3	1
colonne	3	1
vetri	3	2
frammenti	3	2
colore	3	2
zone	3	1
grassi	3	2
spina	3	1
crine	3	2
linea	3	1
frontiera	3	1
inchiostro	0	2
quadricromia	3	1
chili	3	2
lettere	3	1
lettera	3	1
buoni	0	2
origini	3	1
categorie	3	1
esalazioni	3	1
comprensorio	3	2
fusto	0	2
industrie	3	1
utilità	3	1
comune	0	2
regolamento	0	2
istituto	0	2
rinunzia	3	1
servitù	3	1
danno	3	2
laghi	0	2
dubbio	3	2
turni	3	2
deposito	0	2
disposizioni	3	1
motivi	3	2
gioventù	3	1
elettori	3	2
organizzazione	3	1
controversie	3	1
specifiche	3	1
membri	3	2
euro	0	2
funerali	3	2
costa	3	1
barche	3	1
risparmiatori	3	2
tutela	3	1
sigarette	3	1
summit	3	2
trasporto	3	2
pericolo	3	2
ambasciata	3	1
gestori	3	2
manifestazione	3	1
risultato	0	2
offerta	3	1
servizio	3	2
isola	3	1
girandola	3	1
coordinazioni	3	1
banca	3	1
trasmettitore	3	2
ozono	0	2
anello	0	2
collaborazione	3	1
lancio	3	2
lino	3	2
limite	3	2
fornitore	3	2
esistenza	3	1
zar	3	2
tunnel	0	2
compagnia	3	1
gioielli	3	2
scritta	0	1
particolari	3	2
ufficio	0	2
ruolo	3	2
chiave	0	1
antologia	3	1
programmi	3	2
conferenza	3	1
proposito	3	2
acquee	3	1
dignità	3	1
sesso	0	2
querce	0	1
maniere	3	1
ambiente	0	2
partenariato	0	2
camere	3	1
fasti	3	2
modernismo	3	2
ammortizzatori	3	2
correlazione	3	1
onde	3	1
economie	3	1
colleghe	3	1
democrazia	3	1
sfide	3	1
maghi	3	2
regno	0	2
piede	3	2
pozzi	3	2
paradigma	0	2
matrice	3	1
atmosfera	3	1
esperimenti	3	2
fattori	3	2
corazzieri	3	2
volontario	0	2
africani	3	2
colori	3	2
fax	3	2
empireo	3	2
auspicio	3	2
insediamenti	3	2
esattezza	3	1
conoscenza	3	1
condomini	3	2
agosto	3	2
liceo	3	2
pareggio	0	2
dirigenza	3	1
monile	0	2
divisa	0	1
cilindro	3	2
gruppi	3	2
ottone	3	2
rilievo	3	2
muscolatura	3	1
desktop	0	2
testo	3	2
iniezione	3	1
appuntamento	3	2
essenzialità	3	1
muro	0	2
soppressione	3	1
miglioramenti	3	2
